Sort,nt_acc,genome_segment_length_bp
10527,AY302556.1,7394.0
10481,AY697460.1,7425.0
10632,KU587555.1,7367.0
10166,MK720944.1,27636.0
10518,AY302547.1,7426.0
10517,AY302546.1,7394.0
10488,AF326754.2,7373.0
10198,FJ376619.2,26487.0
10475,AY421768.1,7404.0
10474,AY421767.1,7409.0
7120,GU814265.1,9497.0
7119,D63821.1,9450.0
10516,AY302544.1,7433.0
10489,AF326761.2,7348.0
10473,AY421766.1,7396.0
10490,AF326764.2,7393.0
10828,KR703607.1,7476.0
10487,KU355877.1,7347.0
10784,KJ675505.1,7123.0
10519,AY302548.1,7433.0
10478,U22521.1,7408.0
10477,U05876.1,7413.0
10781,JN205461.1,7115.0
10476,AY421769.1,7415.0
10834,KT229611.1,7569.0
12246,EU835513.1,30570.0
10741,JN614996.1,6899.0
10740,JX074053.1,7189.0
10589,D00214.1,7414.0
10239,KJ681496.1,27004.0
10742,FJ445137.1,7216.0
10739,JF781500.1,6920.0
10623,KP345888.1,7457.0
10622,KP345887.1,7441.0
10844,KY432472.1,8145.0
10839,KT877158.1,7417.0
7143,DQ859057.1,10173.0
7153,AF326573.1,10649.0
10798,JN572115.1,7391.0
7154,DQ859060.1,10206.0
10715,FJ445112.1,7212.0
7142,DQ859056.1,10182.0
7166,DQ859066.1,10173.0
10732,FJ445164.1,7213.0
10716,DQ473486.1,7216.0
7198,DQ859062.1,10173.0
7199,DQ859067.1,10173.0
7123,D63822.1,9461.0
10713,DQ473485.1,7208.0
7113,AF009606.1,9646.0
7114,M62321.1,9401.0
7117,D10988.1,9511.0
7121,Y13184.1,9343.0
10714,DQ473490.1,7212.0
7204,DQ859065.1,10182.0
7205,AY453411.1,11066.0
10799,JN572116.1,7433.0
10726,FJ445151.1,7211.0
10720,FJ445186.1,7217.0
10725,FJ445188.1,7216.0
10724,DQ473488.1,7214.0
10721,DQ473487.1,7224.0
10723,FJ445130.1,7223.0
10727,DQ473489.1,7223.0
10728,FJ445153.1,7216.0
10717,K02121.1,7212.0
10731,FJ445162.1,7201.0
7230,U94421.1,9550.0
10730,FJ445161.1,7230.0
10729,FJ445155.1,7224.0
10719,FJ445124.1,7211.0
10733,FJ445168.1,7221.0
4434,J02400.1,5243.0
10463,LC036580.1,7634.0
10575,EF555645.1,7438.0
10734,FJ445169.1,7233.0
10464,LR216006.1,7557.0
10737,FJ445174.1,7208.0
10736,FJ445172.1,7207.0
10462,LC036579.1,7625.0
10461,LC006971.1,7570.0
4627,M15953.1,8095.0
12122,MK101347.1,48395.0
9049,KJ432572.1,11214.0
10973,JX491648.1,6858.0
11737,AF033807.1,8805.0
10248,MK182569.1,32753.0
10344,EU236594.1,7556.0
7227,AF070476.1,9250.0
11739,AF033818.1,8419.0
4977,M19296.1,5323.0
10847,JN819202.1,8785.0
7221,U45966.1,9103.0
10909,KF741227.2,9798.0
7217,KC145265.1,10479.0
10880,KF979336.1,9591.0
10866,KF793927.1,8305.0
10853,JN387133.1,8155.0
10886,GU182408.1,7641.0
10850,KF979337.1,8432.0
10887,GU182410.1,7678.0
10807,MF352425.1,7656.0
10810,MF352408.1,7278.0
10930,AB937989.1,7321.0
102,JN227533.1,218041.0
11492,AJ622822.1,3096.0
10922,EU142040.1,6718.0
10808,KJ950883.1,7433.0
11976,KX354450.1,184638.0
10907,GQ179640.3,7982.0
10894,KJ415177.1,7204.0
4440,FJ188392.1,5081.0
10911,KP779642.1,9809.0
10862,AB084788.1,8374.0
12028,EF420156.1,144565.0
11961,FR682468.2,190584.0
4809,EU240894.1,8089.0
12736,AM850132.1,19503.0
10867,LC055961.1,8087.0
10358,M81861.1,7835.0
10500,AF250874.1,2645.0
10376,AB747254.1,8087.0
10868,LC055960.1,8496.0
12001,MF467280.1,170141.0
11910,AY150217.1,106332.0
11997,AF170726.2,161773.0
11998,AF170722.1,159857.0
12000,MF467281.1,167359.0
11992,MF001304.1,204055.0
11993,HQ849551.1,175699.0
10896,MG967619.1,7456.0
9403,MG599940.1,6627.0
12103,KC493646.1,45781.0
10937,KY670597.1,7429.0
10812,KY855432.1,7726.0
9402,DQ825770.1,6581.0
9055,GQ294473.1,13203.0
9398,AJ005637.1,6541.0
9391,L37902.1,6562.0
9393,MK883760.1,6465.0
11978,MF678796.1,293123.0
9383,AB712372.1,6547.0
9386,HM015221.1,6558.0
9384,JX028271.1,6544.0
11983,KJ801920.1,282356.0
9381,EF646763.1,6559.0
9378,FJ809772.1,6563.0
9377,JQ611713.1,6562.0
9374,AB620108.1,6540.0
4772,AJ238373.1,7879.0
9373,AB620105.1,6517.0
9367,KJ857321.1,6581.0
9371,AB620102.1,6529.0
9682,KM817679.1,7323.0
9370,EU788002.1,6563.0
9348,FJ858378.1,6560.0
12016,HQ647181.2,185139.0
9347,GQ244526.1,6554.0
9360,KT899703.1,6531.0
11929,KX185156.1,103531.0
11930,MK227779.1,103266.0
109,AF232689.2,230138.0
9355,GQ200821.1,6578.0
9341,AF291704.5,6562.0
11899,KX643370.1,208501.0
11982,KJ859677.1,306862.0
6752,FJ827631.1,11526.0
12011,KU749310.1,222832.0
12010,KP143769.1,214699.0
123,KF017583.1,128367.0
10229,MG600020.1,18239.0
12015,KU749311.1,217124.0
4629,M11910.1,8374.0
9369,HQ404253.1,6538.0
10251,KX883637.1,25960.0
10841,KX156153.1,7780.0
11900,MN803438.1,211086.0
108,GU305914.1,230408.0
9340,KY662275.1,6522.0
12429,KM610234.1,145704.0
8922,KY421919.1,13168.0
10381,KY432928.1,8122.0
12319,AY327402.2,131160.0
9358,AJ410618.2,6532.0
12445,MG702567.1,280591.0
12115,FN824512.2,45480.0
10289,HM777507.1,10436.0
9338,KR072623.1,6563.0
12333,KF611977.1,120420.0
9389,X56492.1,6530.0
9349,KC631784.1,6551.0
9366,KJ857320.1,6499.0
9359,JF920148.1,6533.0
9710,KM817675.1,7151.0
10939,KF306267.1,7697.0
12253,MK518392.1,36206.0
9356,AJ410617.1,6532.0
9394,KC490922.1,6508.0
127,AJ507799.2,171823.0
9397,KU934008.1,6532.0
9351,EF543525.2,6533.0
9385,MK165653.1,6447.0
10859,MF175074.1,8099.0
11950,AF303741.1,212482.0
11898,AY380826.1,186250.0
10133,KP126831.1,15684.0
11926,AF389451.1,105057.0
10872,KX463670.1,7768.0
9387,JQ082302.1,6531.0
10842,KX156155.1,7823.0
11920,JQ724856.1,127732.0
10811,KY432926.1,7278.0
12198,JN226754.1,35214.0
8875,KX785335.1,10744.0
12100,MH777395.1,43842.0
12099,KJ469653.1,43734.0
11902,AY894343.1,112636.0
11919,KT989885.1,127549.0
4679,DQ098913.1,7791.0
9261,AB693151.1,7195.0
7265,AF171943.1,1311.0
11905,GQ273492.1,110104.0
129,MG471437.1,166590.0
9350,KX551962.1,6538.0
12116,KX121164.1,41981.0
9206,KX148552.1,11672.0
12117,KX577802.1,40930.0
11901,AF371960.1,111362.0
11937,AY521625.1,140131.0
10242,MN161572.1,30104.0
4641,KX954132.1,7688.0
4824,JF834523.1,7197.0
4792,AY722648.1,8101.0
12430,MZ311578.1,113840.0
65,JQ596859.1,124049.0
9336,KM102249.1,6531.0
11924,JQ654586.1,105791.0
9362,X55901.1,6533.0
4508,KT944080.1,7898.0
9364,DQ056292.1,6533.0
10126,X53459.3,12704.0
12003,MH427217.1,127879.0
9363,KC136242.1,6533.0
9207,KX148553.1,11652.0
4817,AB331650.1,7303.0
4818,AB331651.1,7399.0
4821,KM983393.1,7189.0
11925,EU627010.1,105890.0
4497,M60184.1,8028.0
12005,MH607141.1,221923.0
12004,MH816996.1,213743.0
11939,KF938901.1,163023.0
10888,GU182406.1,8035.0
7235,KU351669.1,9760.0
11958,FN557520.1,181187.0
12132,AP018374.1,30134.0
11968,KM102979.1,182906.0
11957,U18466.2,170101.0
11962,KP055815.1,180365.0
12102,AC_000014.1,43804.0
4628,AF443292.1,8090.0
12343,KT957089.2,142900.0
12009,AF380138.1,196858.0
12437,JX515788.1,295884.0
10249,MF685025.1,30742.0
11967,KM111295.1,184368.0
8847,AF052755.1,15246.0
4632,X02346.1,7945.0
4634,JX174437.1,7946.0
12427,AF451898.1,228089.0
10357,KM589358.1,7018.0
8843,MH972568.1,15270.0
7242,AF144617.2,12602.0
7239,M96751.1,12308.0
11907,MK098185.1,112321.0
4635,KP276343.1,7966.0
7263,AF174534.1,1336.0
4636,M20219.1,7937.0
4795,KX599536.1,7941.0
4633,JQ798171.1,7961.0
12013,AY243312.1,194711.0
10228,MG600024.1,13162.0
12029,AY386371.1,134721.0
10813,MF175072.1,7112.0
10805,KY432933.1,8013.0
7218,U44402.1,9392.0
12325,DQ813662.2,132239.0
7224,AB021287.1,9228.0
11931,KX353311.2,126965.0
10147,JN116253.3,12917.0
7226,AB003292.1,8930.0
12105,MK572851.1,45554.0
7225,AY949771.1,9160.0
11977,AY318871.1,359853.0
12326,KR815466.1,131855.0
7222,AY196904.1,9309.0
7219,U63715.1,9367.0
11966,KM111294.1,191058.0
10641,EF173415.1,7124.0
10141,KU302440.1,15099.0
9018,DQ399789.1,11545.0
12341,KJ631623.1,125767.0
4810,EU240895.1,7915.0
7247,AF037405.1,12333.0
7220,AB003289.1,8953.0
12723,AJ632318.1,8785.0
11915,KX574341.1,108041.0
12391,DQ333351.1,104710.0
10378,AB747256.1,8081.0
9210,MH822965.1,12265.0
12121,KF477313.1,43686.0
10382,KY432930.1,7890.0
4637,EF680235.1,8032.0
12022,KU980965.1,133492.0
11916,MF538627.1,107469.0
7241,FJ040215.1,12337.0
10857,MF947444.1,6905.0
12388,KR091910.1,107439.0
12114,JF510462.1,43376.0
10259,HQ010042.1,7908.0
11912,JQ231222.1,106878.0
10860,MF352432.1,8295.0
10241,MG600028.1,29409.0
100,AY446894.2,235646.0
12407,AF499596.1,119217.0
7255,FJ527854.1,12284.0
97,FJ483970.2,219474.0
7256,U18059.1,12513.0
10151,MG600022.1,15301.0
12153,AY163756.1,34794.0
50,AY372243.1,163025.0
4519,KC138720.1,7830.0
7115,D90208.1,9413.0
12160,FJ643676.1,34755.0
12012,DQ437594.1,198050.0
10809,MF352417.1,7841.0
12327,DQ486030.3,126629.0
10244,MT997160.1,31537.0
4424,KY341899.1,5070.0
9211,MH822964.1,12521.0
10146,KY369969.1,14943.0
7254,X87939.1,12298.0
12394,KU593505.2,111248.0
12172,AF534906.1,36001.0
10125,MF324848.1,13766.0
12386,AF547984.1,99657.0
12433,KJ184318.1,119638.0
4622,KP099966.1,7796.0
9037,MW491753.2,12432.0
4638,KT626573.1,8029.0
8906,AF234533.1,14900.0
10855,KF831027.1,8219.0
91,AP010838.1,148371.0
7246,MK618726.1,12173.0
12173,M73260.1,35935.0
12342,MH394321.1,115728.0
12396,U53466.2,123500.0
7245,MZ664274.1,12286.0
11942,HF920636.1,198533.0
12186,JN226747.1,35209.0
12217,HM770721.2,35066.0
12215,FJ169625.1,34909.0
12404,MT844067.1,116875.0
12201,JN226758.1,35131.0
11918,FJ433873.1,127011.0
12196,JN226753.1,35154.0
12207,JN226762.1,35012.0
12208,JN226763.1,35214.0
11932,KX574342.1,114865.0
12397,KP296186.1,98392.0
10127,KP026921.1,14953.0
11933,KX574343.1,115510.0
12185,JN226746.1,35105.0
12200,JN226756.1,35248.0
12041,HF679132.1,307691.0
12395,AY229987.1,110907.0
12192,JN226750.1,35050.0
10137,KM110938.1,14927.0
12205,JN226760.1,35152.0
12323,MT040195.1,137373.0
12194,JN226752.1,35248.0
10140,KP280006.1,15728.0
12191,FJ404771.1,35166.0
12199,JN226755.1,35178.0
7238,JX428945.1,12292.0
10144,KY369967.1,15224.0
12436,AF369029.2,292967.0
8935,EF612701.1,13196.0
11921,MH665358.1,116726.0
10135,KR139839.1,15478.0
12442,KU216744.2,300087.0
12214,JN226765.1,35114.0
12370,KM596836.1,132831.0
10136,KT447550.1,14924.0
12045,HF679133.1,282895.0
10142,KY369968.1,15275.0
12443,KX686117.1,300223.0
12189,JQ326209.1,35153.0
9076,HQ660076.1,11135.0
11913,KC865735.1,106734.0
12193,JN226751.1,35166.0
12206,JN226761.1,35231.0
12190,JN226749.1,35181.0
12209,JN226764.1,35154.0
12340,DQ504428.1,135454.0
12202,GQ384080.1,35152.0
12338,KJ631622.1,139132.0
12567,KY856742.1,2943.0
12339,AY864330.1,149622.0
11917,MF538628.1,107444.0
12384,KR011717.2,105555.0
12204,JN226759.1,35221.0
12392,HQ116624.1,101487.0
12372,MK419956.1,128587.0
12211,JN226757.1,35106.0
12007,AF482758.2,224499.0
11923,KJ175144.1,105070.0
12118,MH580295.1,38694.0
12359,GQ202541.1,156344.0
11922,AY548484.1,105903.0
9060,KP688373.1,13296.0
12424,EU747721.1,127615.0
12317,DQ123841.1,147544.0
12410,DQ288858.2,124121.0
12354,MH261376.1,139089.0
4461,GQ331138.1,5112.0
12363,EF125867.1,111953.0
12049,HF679134.1,281182.0
12361,U59461.2,155060.0
12390,GQ884143.1,108592.0
12402,MH923363.1,114825.0
12358,AF081810.1,161046.0
11948,MF197913.1,165695.0
12349,AF271059.2,131405.0
10777,JF436925.1,6864.0
4755,AF227240.1,7565.0
12421,MF966379.1,155555.0
12344,MK558262.1,122075.0
10861,MF947429.1,6340.0
116,JQ805139.1,222870.0
4673,DQ217793.1,7412.0
12351,AP010907.1,132425.0
12357,KP763670.1,120023.0
10640,EF173414.1,7125.0
11904,AY532606.1,112080.0
12399,KJ406702.1,102759.0
7116,D00944.1,9589.0
12352,KF158713.1,140633.0
10620,KU297674.1,7461.0
12362,AF539999.1,153656.0
12393,KC179784.1,101818.0
12316,EU839994.1,155122.0
10743,EF077279.1,6944.0
12406,EU678671.1,176677.0
12413,AF162221.1,178733.0
10871,KJ641691.1,7279.0
10150,MG600023.1,18410.0
12387,KR584663.1,131557.0
12353,AP009046.1,132959.0
12350,AF303045.2,130759.0
12321,AY126275.1,158482.0
4808,KJ452243.1,8132.0
12218,AY487947.1,35994.0
12030,AP013055.1,245717.0
10134,JX473849.1,15264.0
12405,KR011718.1,134272.0
12412,KU752557.1,175360.0
12335,AF512031.3,129593.0
12360,JQ798165.1,152710.0
12038,HF679131.1,228750.0
12368,U75930.2,131995.0
12409,AF270937.1,100999.0
12408,KX151395.1,112536.0
12378,AF325155.1,139342.0
4470,MG654479.1,4700.0
7133,KC411806.1,8883.0
10131,KT166441.1,15307.0
10129,KM677927.1,15370.0
12398,JN408834.1,119082.0
12315,AP006270.1,113220.0
12431,MZ311577.1,132068.0
12381,JX467702.1,132978.0
12419,EU522111.1,124279.0
12337,KC961304.1,129052.0
78,AY261359.1,138390.0
12415,DQ317692.1,84264.0
54,AF243438.1,177874.0
12383,DQ017380.1,134394.0
12374,MH320559.1,149090.0
12148,GU191019.1,34177.0
12364,MF375894.1,148482.0
12366,MF614691.1,119054.0
11945,GQ918152.1,205791.0
12346,AY043265.1,118584.0
12379,EF035042.2,131331.0
12322,MH124167.1,156647.0
12104,HE608152.1,45810.0
12150,KF360047.1,34163.0
12107,KT862806.1,43632.0
55,HQ840738.1,165994.0
4829,KX643372.1,5748.0
84,MH036943.1,142633.0
12347,OK091173.1,125247.0
7177,Y07863.1,10871.0
12273,KC693021.1,35537.0
12369,MF143631.1,113971.0
7229,U22303.1,9653.0
7180,DQ235152.1,10245.0
8888,KM204987.1,11906.0
7131,KJ950938.1,8976.0
12108,KT862807.1,43337.0
12418,EF568108.1,190032.0
7132,KX905133.1,9656.0
12231,L19443.1,34214.0
7232,GU566735.1,9536.0
12416,AY349019.1,81755.0
12355,KP752043.1,157977.0
7155,U27495.1,11141.0
12318,KM102981.1,148981.0
12330,DQ457003.1,134417.0
11727,J02013.1,1928.0
12367,EU309041.1,156179.0
11990,AF325528.1,150773.0
12006,AF438165.1,205719.0
12017,AY386265.1,134431.0
12002,U60315.1,190289.0
12024,HE601899.1,148803.0
12401,EU255577.1,169794.0
12259,AF289262.1,32621.0
12027,AJ293568.1,144575.0
7125,KC796074.1,9609.0
12329,L22858.1,133894.0
12008,AF012825.2,209771.0
12375,MH717816.1,129528.0
12091,AC_000004.1,33213.0
12331,L33180.1,128413.0
12025,AF410153.1,146454.0
12332,FJ882854.1,126770.0
12276,KC693022.1,34391.0
117,AF281817.1,195859.0
11995,DQ356948.1,190054.0
8568,KM817598.1,13732.0
12373,AY145471.1,131526.0
8917,KM085030.1,14478.0
12356,AY394490.1,168041.0
12284,KX505867.1,33562.0
10694,EF173418.1,7145.0
11891,EF133465.1,186262.0
12422,KX130344.1,152388.0
12336,KF894742.1,124688.0
12277,KC693023.1,34402.0
12026,KY747497.1,176688.0
11943,HF920635.1,204815.0
10683,EF173417.1,7129.0
12023,KT159937.1,241564.0
11556,AY180917.1,9092.0
10662,AY751783.1,7137.0
12019,AY386264.1,139962.0
11994,AY689436.1,166259.0
12060,KR095315.1,252940.0
12232,DQ315364.2,34188.0
12020,GQ329670.1,145289.0
12021,KM502564.1,139981.0
9029,MH899109.1,11434.0
12257,L43364.1,1993.0
10644,L24917.1,7124.0
12365,MZ766431.1,142291.0
12234,DQ923122.2,34250.0
9064,MZ328291.1,11828.0
10651,EF173416.1,7132.0
11893,JX491653.1,199721.0
12411,KM371112.1,140913.0
10702,EF173419.1,7132.0
12345,DQ837165.1,131204.0
4620,KT901797.1,7839.0
9735,KM817703.1,6421.0
7112,KC411777.1,9687.0
12256,AC_000189.1,34094.0
12144,JN418926.1,32690.0
12561,AF261761.1,3736.0
12247,AC_000001.1,33034.0
12113,KT862811.1,43666.0
6270,KU343137.1,2262.0
12446,MH090824.1,288997.0
118,X83413.2,159378.0
7162,AY632539.4,10755.0
12417,AY430810.1,86462.0
7122,Y12083.1,9340.0
121,KU351741.1,137448.0
12111,KT862809.1,43525.0
9759,KR003786.1,6806.0
12159,AY737798.1,35385.0
10735,EF173425.1,7215.0
12110,KT862808.1,43810.0
9861,KM817666.1,6549.0
37,JQ815363.1,291144.0
12154,AY803294.1,34764.0
12096,KJ675568.1,31735.0
7124,EF108306.2,9443.0
12112,KT862810.1,43287.0
12089,JQ345700.1,30024.0
12094,U40839.3,29576.0
9062,KM204999.1,11478.0
12090,KY748210.1,30620.0
4645,FJ379293.1,8256.0
10718,EF173420.1,7219.0
12157,AY737797.1,34775.0
12086,AF036092.3,31301.0
12138,AC_000003.1,30536.0
51,MK955929.1,120899.0
99,FJ483968.2,226205.0
11988,KP728110.2,188534.0
12155,AY601636.1,35522.0
10738,HQ123444.1,6537.0
6772,J02363.1,11703.0
12134,LC385827.1,31218.0
12133,MG551742.1,29342.0
12136,AC_000002.1,34446.0
12171,J01917.1,35937.0
12377,JX454574.1,137998.0
