cluster_id,cluster_size,ictv_lca,ictv_lca_rank,protlen_mean,plddt_mean,ptm_mean,cluster_representative,structure_representative,structure_representative_plddt,top_genbank_name,analysis,annotation,annotation_count,annotation_median_start,annotation_median_stop
6,423,Picornavirales,Order,98.83,92.33,0.83,CF-AHC98709.1.1.3_10939_relaxed,CF-AAL99277.1.1.2_10265_relaxed,95.8,RNA helicase; pfam00910,Pfam,RNA helicase,423,1.0,99.0
7,367,Bunyavirales,Order,722.26,88.15,0.86,CF-AVM87662.1.1.1_9332_relaxed,CF-AKF42423.1.1.3_9776_relaxed,94.3,Bunyavirus RNA dependent RNA polymerase; pfam04196,Pfam,Bunyavirus RNA dependent RNA polymerase,369,1.0,726.0
7,367,Bunyavirales,Order,722.26,88.15,0.86,CF-AVM87662.1.1.1_9332_relaxed,CF-AKF42423.1.1.3_9776_relaxed,94.3,Bunyavirus RNA dependent RNA polymerase; pfam04196,Pfam,Arenavirus RNA polymerase,8,175.5,463.0
8,352,Papovaviricetes,Class,510.97,83.99,0.8,CF-ADC34409.1_4461_relaxed,CF-CAW42222.1_4568_relaxed,86.7,Gene: L1; Product: L1 protein,Pfam,L1 (late) protein,341,4.0,504.0
8,352,Papovaviricetes,Class,510.97,83.99,0.8,CF-ADC34409.1_4461_relaxed,CF-CAW42222.1_4568_relaxed,86.7,Gene: L1; Product: L1 protein,Pfam,Polyomavirus coat protein,11,32.0,332.0
9,352,Picornavirales,Order,178.63,88.62,0.84,CF-AIK23445.1.1.2_10850_relaxed,CF-APA29021.1.1.2_10422_relaxed,95.1,"Picornavirus capsid protein domain_like. Picornaviruses are non-enveloped plus-strand ssRNA animal viruses with icosahedral capsids composed of 60 copies each of 4 virus encoded proteins; alignment includes picornaviridae, like poliovirus, hepatitis A...; cd00205",Pfam,picornavirus capsid protein,229,18.0,140.0
9,352,Picornavirales,Order,178.63,88.62,0.84,CF-AIK23445.1.1.2_10850_relaxed,CF-APA29021.1.1.2_10422_relaxed,95.1,"Picornavirus capsid protein domain_like. Picornaviruses are non-enveloped plus-strand ssRNA animal viruses with icosahedral capsids composed of 60 copies each of 4 virus encoded proteins; alignment includes picornaviridae, like poliovirus, hepatitis A...; cd00205",Pfam,Picornavirus coat protein,113,1.0,181.0
9,352,Picornavirales,Order,178.63,88.62,0.84,CF-AIK23445.1.1.2_10850_relaxed,CF-APA29021.1.1.2_10422_relaxed,95.1,"Picornavirus capsid protein domain_like. Picornaviruses are non-enveloped plus-strand ssRNA animal viruses with icosahedral capsids composed of 60 copies each of 4 virus encoded proteins; alignment includes picornaviridae, like poliovirus, hepatitis A...; cd00205",Pfam,-,6,,
9,352,Picornavirales,Order,178.63,88.62,0.84,CF-AIK23445.1.1.2_10850_relaxed,CF-APA29021.1.1.2_10422_relaxed,95.1,"Picornavirus capsid protein domain_like. Picornaviruses are non-enveloped plus-strand ssRNA animal viruses with icosahedral capsids composed of 60 copies each of 4 virus encoded proteins; alignment includes picornaviridae, like poliovirus, hepatitis A...; cd00205",Pfam,Hepatitis A virus viral protein VP,1,3.0,142.0
9,352,Picornavirales,Order,178.63,88.62,0.84,CF-AIK23445.1.1.2_10850_relaxed,CF-APA29021.1.1.2_10422_relaxed,95.1,"Picornavirus capsid protein domain_like. Picornaviruses are non-enveloped plus-strand ssRNA animal viruses with icosahedral capsids composed of 60 copies each of 4 virus encoded proteins; alignment includes picornaviridae, like poliovirus, hepatitis A...; cd00205",Pfam,CRPV capsid protein like,1,1.0,212.0
9,352,Picornavirales,Order,178.63,88.62,0.84,CF-AIK23445.1.1.2_10850_relaxed,CF-APA29021.1.1.2_10422_relaxed,95.1,"Picornavirus capsid protein domain_like. Picornaviruses are non-enveloped plus-strand ssRNA animal viruses with icosahedral capsids composed of 60 copies each of 4 virus encoded proteins; alignment includes picornaviridae, like poliovirus, hepatitis A...; cd00205",Pfam,Waikavirus capsid protein 1,1,2.0,164.0
9,352,Picornavirales,Order,178.63,88.62,0.84,CF-AIK23445.1.1.2_10850_relaxed,CF-APA29021.1.1.2_10422_relaxed,95.1,"Picornavirus capsid protein domain_like. Picornaviruses are non-enveloped plus-strand ssRNA animal viruses with icosahedral capsids composed of 60 copies each of 4 virus encoded proteins; alignment includes picornaviridae, like poliovirus, hepatitis A...; cd00205",Pfam,Calicivirus coat protein,1,15.0,170.0
10,336,Orthornavirae,Kingdom,1054.6,88.83,0.88,CF-CAC44891.1_6455_relaxed,CF-AXQ04772.1.1.1_8978_relaxed,92.7,Mononegavirales RNA dependent RNA polymerase; pfam00946,Pfam,Mononegavirales RNA dependent RNA polymerase,328,1.0,1039.0
10,336,Orthornavirae,Kingdom,1054.6,88.83,0.88,CF-CAC44891.1_6455_relaxed,CF-AXQ04772.1.1.1_8978_relaxed,92.7,Mononegavirales RNA dependent RNA polymerase; pfam00946,Pfam,Viral RNA-directed RNA-polymerase,9,210.0,747.0
10,336,Orthornavirae,Kingdom,1054.6,88.83,0.88,CF-CAC44891.1_6455_relaxed,CF-AXQ04772.1.1.1_8978_relaxed,92.7,Mononegavirales RNA dependent RNA polymerase; pfam00946,Pfam,Rotavirus VP1 C-terminal domain,4,778.0,1087.0
11,335,Cossaviricota,Phylum,623.83,77.8,0.53,EF-ACI01073.1_4842_relaxed,EF-AAZ39803.1_4776_relaxed,83.2,Gene: E1,Pfam,Papillomavirus helicase,327,316.0,602.0
11,335,Cossaviricota,Phylum,623.83,77.8,0.53,EF-ACI01073.1_4842_relaxed,EF-AAZ39803.1_4776_relaxed,83.2,Gene: E1,Pfam,"Papillomavirus E1, DNA-binding domain",326,174.0,310.0
11,335,Cossaviricota,Phylum,623.83,77.8,0.53,EF-ACI01073.1_4842_relaxed,EF-AAZ39803.1_4776_relaxed,83.2,Gene: E1,Pfam,"E1 Protein, N terminal domain",320,2.0,124.0
11,335,Cossaviricota,Phylum,623.83,77.8,0.53,EF-ACI01073.1_4842_relaxed,EF-AAZ39803.1_4776_relaxed,83.2,Gene: E1,Pfam,Parvovirus non-structural protein NS1,9,595.0,708.0
12,329,Firstpapillomavirinae,Subfamily,506.05,59.38,0.33,CF-ADZ74265.1_4657_relaxed,CF-ADO63740.1_4703_relaxed,64.0,Gene: L2,Pfam,Late Protein L2,343,6.0,505.0
13,309,Picornaviridae,Family,206.3,88.31,0.86,CF-AFK85007.1.1.1_10429_relaxed,CF-AAF21971.1.1.2_10496_relaxed,91.8,Picornavirus capsid protein; pfam00073,Pfam,picornavirus capsid protein,309,1.0,207.0
14,301,Picornaviridae,Family,327.92,87.12,0.68,CF-ADL38957.1.7_10888_relaxed,CF-ACK37398.1.7_10677_relaxed,92.4,2C,Pfam,RNA helicase,301,126.0,223.0
15,287,Picornavirales,Order,289.2,80.61,0.69,CF-ACK37396.1.4_10675_relaxed,CF-AAQ73094.1.4_10503_relaxed,85.9,1D,Pfam,picornavirus capsid protein,166,48.0,211.0
15,287,Picornavirales,Order,289.2,80.61,0.69,CF-ACK37396.1.4_10675_relaxed,CF-AAQ73094.1.4_10503_relaxed,85.9,1D,Pfam,Picornavirus coat protein,112,37.0,249.0
15,287,Picornavirales,Order,289.2,80.61,0.69,CF-ACK37396.1.4_10675_relaxed,CF-AAQ73094.1.4_10503_relaxed,85.9,1D,Pfam,Hepatitis A virus viral protein VP,5,57.0,224.0
15,287,Picornavirales,Order,289.2,80.61,0.69,CF-ACK37396.1.4_10675_relaxed,CF-AAQ73094.1.4_10503_relaxed,85.9,1D,Pfam,-,4,,
15,287,Picornavirales,Order,289.2,80.61,0.69,CF-ACK37396.1.4_10675_relaxed,CF-AAQ73094.1.4_10503_relaxed,85.9,1D,Pfam,Protein of unknown function (DUF3724),2,264.5,284.5
16,279,Enterovirus,Genus,125.77,93.76,0.88,CF-AEM76814.1.1.5_10777_relaxed,CF-AAW30682.1.1.5_10479_relaxed,96.2,Picornavirus core protein 2A; pfam00947,Pfam,Picornavirus core protein 2A,279,1.0,127.0
17,265,Picornavirales,Order,260.21,87.47,0.86,CF-ACL15191.1.2_10408_relaxed,CF-AIY68181.1.3_10457_relaxed,91.2,VP2,Pfam,picornavirus capsid protein,263,24.0,231.0
17,265,Picornavirales,Order,260.21,87.47,0.86,CF-ACL15191.1.2_10408_relaxed,CF-AIY68181.1.3_10457_relaxed,91.2,VP2,Pfam,-,2,,
18,255,Monjiviricetes,Class,232.48,79.29,0.67,CF-UHK03042.1.1.2_8669_relaxed,CF-APG78724.1.1.2_8606_relaxed,85.9,Mononegavirales mRNA-capping region V; pfam14318,Pfam,Mononegavirales mRNA-capping region V,255,1.0,230.0
19,252,Picornaviridae,Family,166.73,88.89,0.8,CF-AAT01695.1.1.4_10351_relaxed,CF-ACK37430.1.1.3_10737_relaxed,92.2,Picornavirus capsid protein; pfam00073,Pfam,picornavirus capsid protein,234,2.0,166.0
19,252,Picornaviridae,Family,166.73,88.89,0.8,CF-AAT01695.1.1.4_10351_relaxed,CF-ACK37430.1.1.3_10737_relaxed,92.2,Picornavirus capsid protein; pfam00073,Pfam,Hepatitis A virus viral protein VP,18,1.0,168.0
20,249,Viruses,Superkingdom,533.66,69.42,0.46,EF-APG78658.1_8617_relaxed,CF-QDW81032.1_8883_relaxed,78.5,Gene: G; Product: glycoprotein,Pfam,Rhabdovirus spike glycoprotein,149,22.0,496.0
20,249,Viruses,Superkingdom,533.66,69.42,0.46,EF-APG78658.1_8617_relaxed,CF-QDW81032.1_8883_relaxed,78.5,Gene: G; Product: glycoprotein,Pfam,-,46,,
20,249,Viruses,Superkingdom,533.66,69.42,0.46,EF-APG78658.1_8617_relaxed,CF-QDW81032.1_8883_relaxed,78.5,Gene: G; Product: glycoprotein,Pfam,Baculovirus gp64 envelope glycoprotein family,38,20.0,507.0
20,249,Viruses,Superkingdom,533.66,69.42,0.46,EF-APG78658.1_8617_relaxed,CF-QDW81032.1_8883_relaxed,78.5,Gene: G; Product: glycoprotein,Pfam,Borna disease virus G protein,21,3.0,500.0
21,220,Enterovirus,Genus,146.19,90.65,0.86,CF-ACV51798.1.5_10752_relaxed,CF-ACV51798.1.5_10752_relaxed,93.7,2A,Pfam,Picornavirus core protein 2A,220,18.0,143.0
22,206,Enterovirus,Genus,159.73,81.26,0.68,CF-AAL69638.2.1.4_10624_relaxed,CF-AAL69638.2.1.4_10624_relaxed,85.2,Picornavirus capsid protein; pfam00073,Pfam,picornavirus capsid protein,203,2.0,156.0
22,206,Enterovirus,Genus,159.73,81.26,0.68,CF-AAL69638.2.1.4_10624_relaxed,CF-AAL69638.2.1.4_10624_relaxed,85.2,Picornavirus capsid protein; pfam00073,Pfam,Picornavirus coat protein,3,2.0,147.0
23,204,Alpharhabdovirinae,Subfamily,437.07,86.55,0.81,CF-AIY25912.1_8896_relaxed,CF-AJR28385.1_9074_relaxed,92.7,Product: nucleoprotein,Pfam,Rhabdovirus nucleocapsid protein,204,12.5,405.0
24,201,Viruses,Superkingdom,281.68,89.96,0.73,CF-AEW47007.1_5197_relaxed,CF-QBP37055.1_5257_relaxed,94.7,Product: replication-associated protein,Pfam,RNA helicase,141,164.0,251.0
24,201,Viruses,Superkingdom,281.68,89.96,0.73,CF-AEW47007.1_5197_relaxed,CF-QBP37055.1_5257_relaxed,94.7,Product: replication-associated protein,Pfam,Putative viral replication protein,140,8.5,92.0
24,201,Viruses,Superkingdom,281.68,89.96,0.73,CF-AEW47007.1_5197_relaxed,CF-QBP37055.1_5257_relaxed,94.7,Product: replication-associated protein,Pfam,-,58,,
24,201,Viruses,Superkingdom,281.68,89.96,0.73,CF-AEW47007.1_5197_relaxed,CF-QBP37055.1_5257_relaxed,94.7,Product: replication-associated protein,Pfam,Geminivirus Rep catalytic domain,1,5.0,98.0
25,189,Adenoviridae,Family,932.74,69.17,0.69,CF-AAF86932.1_12288_relaxed,CF-ABG22143.2_12250_relaxed,74.5,Product: hexon,Pfam,"Hexon, adenovirus major coat protein, N-terminal domain",199,8.0,608.0
25,189,Adenoviridae,Family,932.74,69.17,0.69,CF-AAF86932.1_12288_relaxed,CF-ABG22143.2_12250_relaxed,74.5,Product: hexon,Pfam,"Hexon, adenovirus major coat protein, C-terminal domain",189,611.0,840.0
26,185,Peribunyaviridae,Family,236.43,89.93,0.84,CF-QEO75953.1_9468_relaxed,CF-CCG93481.1_9634_relaxed,92.0,Product: nucleocapsid protein,Pfam,Bunyavirus nucleocapsid (N) protein,183,8.0,234.0
26,185,Peribunyaviridae,Family,236.43,89.93,0.84,CF-QEO75953.1_9468_relaxed,CF-CCG93481.1_9634_relaxed,92.0,Product: nucleocapsid protein,Pfam,-,2,,
27,181,Peribunyaviridae,Family,180.5,96.2,0.9,CF-QLA47064.1.1.1_9568_relaxed,CF-QLA47064.1.1.1_9568_relaxed,97.1,Endonuclease domain of segmented negative-strand RNA virus (sNSV) polymerases; cd22349,Pfam,L protein N-terminus,181,4.0,178.0
28,180,Peribunyaviridae,Family,1434.98,78.51,0.57,CF-AJD77609.1_9504_relaxed,CF-APM83099.1_9601_relaxed,81.1,Product: polyprotein,Pfam,Bunyavirus glycoprotein G1,180,523.0,1371.0
28,180,Peribunyaviridae,Family,1434.98,78.51,0.57,CF-AJD77609.1_9504_relaxed,CF-APM83099.1_9601_relaxed,81.1,Product: polyprotein,Pfam,Bunyavirus glycoprotein G2,180,22.0,301.0
29,177,Viruses,Superkingdom,324.25,87.59,0.85,CF-AKS26322.1_12060_relaxed,EF-AAL69755.1_12025_relaxed,90.6,Gene: UL40; Product: ribonucleotide reductase subunit 2,Pfam,"Ribonucleotide reductase, small chain",177,12.0,280.0
30,175,Adenoviridae,Family,206.07,93.23,0.92,CF-QCQ84159.1_12122_relaxed,CF-AXE75634.1_12133_relaxed,96.4,Product: protease,Pfam,Adenovirus endoprotease,175,22.0,199.0
31,173,Viruses,Superkingdom,345.43,84.78,0.47,CF-AJD09209.1_12341_relaxed,CF-CCU55568.1_12038_relaxed,90.3,Product: N1R/p28-like protein,Pfam,"BRO family, N-terminal domain",133,17.0,119.0
31,173,Viruses,Superkingdom,345.43,84.78,0.47,CF-AJD09209.1_12341_relaxed,CF-CCU55568.1_12038_relaxed,90.3,Product: N1R/p28-like protein,Pfam,Protein of unknown function (DUF3627),120,217.0,300.0
31,173,Viruses,Superkingdom,345.43,84.78,0.47,CF-AJD09209.1_12341_relaxed,CF-CCU55568.1_12038_relaxed,90.3,Product: N1R/p28-like protein,Pfam,KilA-N domain,35,20.0,124.0
31,173,Viruses,Superkingdom,345.43,84.78,0.47,CF-AJD09209.1_12341_relaxed,CF-CCU55568.1_12038_relaxed,90.3,Product: N1R/p28-like protein,Pfam,-,7,,
32,171,Viruses,Superkingdom,327.79,88.12,0.62,CF-AFV91336.1_12491_relaxed,EF-QCX35065.1_6104_relaxed,92.6,Product: replication-associated protein,Pfam,Geminivirus Rep catalytic domain,135,6.0,100.0
32,171,Viruses,Superkingdom,327.79,88.12,0.62,CF-AFV91336.1_12491_relaxed,EF-QCX35065.1_6104_relaxed,92.6,Product: replication-associated protein,Pfam,Geminivirus rep protein central domain,84,117.0,215.0
32,171,Viruses,Superkingdom,327.79,88.12,0.62,CF-AFV91336.1_12491_relaxed,EF-QCX35065.1_6104_relaxed,92.6,Product: replication-associated protein,Pfam,-,17,,
32,171,Viruses,Superkingdom,327.79,88.12,0.62,CF-AFV91336.1_12491_relaxed,EF-QCX35065.1_6104_relaxed,92.6,Product: replication-associated protein,Pfam,Putative viral replication protein,2,7.0,89.0
32,171,Viruses,Superkingdom,327.79,88.12,0.62,CF-AFV91336.1_12491_relaxed,EF-QCX35065.1_6104_relaxed,92.6,Product: replication-associated protein,Pfam,RNA helicase,2,174.5,269.5
33,170,Viruses,Superkingdom,281.68,92.16,0.91,CF-AGE89858.1_12377_relaxed,CF-AYN64746.1_12004_relaxed,96.1,Product: protein kinase 1,Pfam,Protein kinase domain,143,25.0,265.0
33,170,Viruses,Superkingdom,281.68,92.16,0.91,CF-AGE89858.1_12377_relaxed,CF-AYN64746.1_12004_relaxed,96.1,Product: protein kinase 1,Pfam,Protein tyrosine and serine/threonine kinase,16,41.0,271.0
33,170,Viruses,Superkingdom,281.68,92.16,0.91,CF-AGE89858.1_12377_relaxed,CF-AYN64746.1_12004_relaxed,96.1,Product: protein kinase 1,Pfam,-,11,,
34,166,Viruses,Superkingdom,574.41,61.98,0.35,CF-AFX83433.1_110_relaxed,CF-CAA70804.1_12091_relaxed,66.8,Product: pIIIa,Pfam,Hexon-associated protein (IIIa),167,73.0,422.0
34,166,Viruses,Superkingdom,574.41,61.98,0.35,CF-AFX83433.1_110_relaxed,CF-CAA70804.1_12091_relaxed,66.8,Product: pIIIa,Pfam,-,3,,
35,164,Firstpapillomavirinae,Subfamily,432.39,75.79,0.5,EF-ANZ90241.1_4826_relaxed,EF-AFA26569.1_4812_relaxed,80.7,Gene: E2; Product: E2 protein,Pfam,"E2 (early) protein, C terminal",164,335.0,412.0
35,164,Firstpapillomavirinae,Subfamily,432.39,75.79,0.5,EF-ANZ90241.1_4826_relaxed,EF-AFA26569.1_4812_relaxed,80.7,Gene: E2; Product: E2 protein,Pfam,"E2 (early) protein, N terminal",164,1.0,198.0
36,164,Viruses,Superkingdom,1019.29,87.5,0.83,CF-AAS16879.1_12416_relaxed,CF-CCA61358.1_11896_relaxed,91.0,Product: DNA polymerase,Pfam,DNA polymerase family B,198,518.5,901.5
36,164,Viruses,Superkingdom,1019.29,87.5,0.83,CF-AAS16879.1_12416_relaxed,CF-CCA61358.1_11896_relaxed,91.0,Product: DNA polymerase,Pfam,"DNA polymerase family B, exonuclease domain",164,188.0,377.5
36,164,Viruses,Superkingdom,1019.29,87.5,0.83,CF-AAS16879.1_12416_relaxed,CF-CCA61358.1_11896_relaxed,91.0,Product: DNA polymerase,Pfam,DNA polymerase family B viral insert,2,287.5,366.0
37,164,Adenoviridae,Family,628.49,74.48,0.73,CF-AP_000343.1_12244_relaxed,CF-ACW84423.1_12289_relaxed,84.4,Product: pTP,Pfam,Adenoviral DNA terminal protein,164,58.0,596.0
38,163,Adenoviridae,Family,502.11,82.02,0.78,CF-BBE29338.1_12124_relaxed,CF-QHB43556.1_12293_relaxed,88.6,Product: penton base,Pfam,Adenovirus penton base protein,163,28.0,508.0
39,162,Firstpapillomavirinae,Subfamily,97.78,79.94,0.49,CF-AER38248.1_4766_relaxed,CF-ANZ90245.1_4653_relaxed,88.1,Gene: E7,Pfam,"E7 protein, Early protein",162,3.0,88.0
40,161,Picornavirales,Order,103.46,92.58,0.84,CF-AVM87417.1.1.4_10897_relaxed,CF-AVM87424.1.1.5_10845_relaxed,95.3,RNA helicase; pfam00910,Pfam,RNA helicase,161,1.0,103.0
41,157,Firstpapillomavirinae,Subfamily,142.12,93.48,0.85,CF-ADZ53049.1_4639_relaxed,CF-AEI00716.1_4752_relaxed,97.5,Gene: E6,Pfam,Early Protein (E6),157,27.0,136.0
42,151,Adenoviridae,Family,1169.76,84.58,0.8,CF-AAF86924.1_12288_relaxed,CF-ARQ79747.1_12129_relaxed,89.3,Product: DNA polymerase,Pfam,"DNA polymerase type B, organellar and viral",151,401.0,882.0
43,148,Firstpapillomavirinae,Subfamily,384.05,78.31,0.55,EF-AGB34178.1_4672_relaxed,EF-ABX56104.1_4503_relaxed,82.4,Gene: E2,Pfam,"E2 (early) protein, N terminal",149,1.0,197.0
43,148,Firstpapillomavirinae,Subfamily,384.05,78.31,0.55,EF-AGB34178.1_4672_relaxed,EF-ABX56104.1_4503_relaxed,82.4,Gene: E2,Pfam,"E2 (early) protein, C terminal",148,299.0,376.0
44,147,Adenoviridae,Family,747.03,74.85,0.72,CF-AAA73916.1_12094_relaxed,CF-AAF86935.1_12288_relaxed,82.3,Product: 100K,Pfam,Late 100kD protein,147,68.0,655.0
45,145,Adenoviridae,Family,377.19,74.68,0.6,CF-QCQ84152.1_12122_relaxed,CF-ALE15297.1_12142_relaxed,80.8,Product: 52K,Pfam,Adenoviral protein L1 52/55-kDa,145,47.0,244.0
46,141,Adenoviridae,Family,226.45,62.2,0.48,CF-AAK26493.1_12259_relaxed,CF-AAK26493.1_12259_relaxed,68.5,Product: pVIII,Pfam,"Adenovirus hexon associated protein, protein VIII",141,3.0,220.0
47,140,Viruses,Superkingdom,558.22,72.9,0.61,EF-CAA04048.1_11667_relaxed,CF-AVM86016.1_8815_relaxed,79.6,Gene: F; Product: fusion protein,Pfam,Fusion glycoprotein F0,91,26.0,507.0
47,140,Viruses,Superkingdom,558.22,72.9,0.61,EF-CAA04048.1_11667_relaxed,CF-AVM86016.1_8815_relaxed,79.6,Gene: F; Product: fusion protein,Pfam,Baculovirus F protein,27,10.0,577.0
47,140,Viruses,Superkingdom,558.22,72.9,0.61,EF-CAA04048.1_11667_relaxed,CF-AVM86016.1_8815_relaxed,79.6,Gene: F; Product: fusion protein,Pfam,-,22,,
47,140,Viruses,Superkingdom,558.22,72.9,0.61,EF-CAA04048.1_11667_relaxed,CF-AVM86016.1_8815_relaxed,79.6,Gene: F; Product: fusion protein,Pfam,Gypsy protein,1,6.0,482.0
48,134,Adenoviridae,Family,486.89,77.44,0.7,CF-ACJ14519.1_12246_relaxed,CF-AKC34853.1_12285_relaxed,84.8,Product: DBP,Pfam,"Viral DNA-binding protein, zinc binding domain",268,302.5,398.0
48,134,Adenoviridae,Family,486.89,77.44,0.7,CF-ACJ14519.1_12246_relaxed,CF-AKC34853.1_12285_relaxed,84.8,Product: DBP,Pfam,"Viral DNA-binding protein, all alpha domain",134,142.0,218.0
49,133,Enterovirus,Genus,87.35,72.68,0.38,CF-ARM53611.1.9_10617_relaxed,CF-ARM53611.1.9_10617_relaxed,78.6,3A,Pfam,Poliovirus 3A protein like,133,5.0,60.0
50,131,Mononegavirales,Order,942.84,76.05,0.7,CF-QPL15295.1.1.3_8689_relaxed,CF-AJR28353.1.1.2_8930_relaxed,89.2,"MRNA capping enzyme, paramyxovirus family; TIGR04198",Pfam,Mononegavirales mRNA-capping region V,130,1.0,141.0
50,131,Mononegavirales,Order,942.84,76.05,0.7,CF-QPL15295.1.1.3_8689_relaxed,CF-AJR28353.1.1.2_8930_relaxed,89.2,"MRNA capping enzyme, paramyxovirus family; TIGR04198",Pfam,"Virus-capping methyltransferase, MT domain",45,465.0,717.0
50,131,Mononegavirales,Order,942.84,76.05,0.7,CF-QPL15295.1.1.3_8689_relaxed,CF-AJR28353.1.1.2_8930_relaxed,89.2,"MRNA capping enzyme, paramyxovirus family; TIGR04198",Pfam,"Virus-capping methyltransferase, connector domain",19,185.0,383.0
50,131,Mononegavirales,Order,942.84,76.05,0.7,CF-QPL15295.1.1.3_8689_relaxed,CF-AJR28353.1.1.2_8930_relaxed,89.2,"MRNA capping enzyme, paramyxovirus family; TIGR04198",Pfam,"Virus-capping methyltransferase, C-terminal",8,722.0,840.0
50,131,Mononegavirales,Order,942.84,76.05,0.7,CF-QPL15295.1.1.3_8689_relaxed,CF-AJR28353.1.1.2_8930_relaxed,89.2,"MRNA capping enzyme, paramyxovirus family; TIGR04198",Pfam,FtsJ-like methyltransferase,8,628.0,732.5
50,131,Mononegavirales,Order,942.84,76.05,0.7,CF-QPL15295.1.1.3_8689_relaxed,CF-AJR28353.1.1.2_8930_relaxed,89.2,"MRNA capping enzyme, paramyxovirus family; TIGR04198",Pfam,-,1,,
51,128,Orthornavirae,Kingdom,144.94,87.37,0.83,CF-AYV99177.1.1.2_7252_relaxed,CF-AAB71133.1.1.4_7230_relaxed,92.8,N-terminal helicase domain of the DEAD-box helicase superfamily; cl28899,Pfam,Flavivirus DEAD domain,99,1.0,145.0
51,128,Orthornavirae,Kingdom,144.94,87.37,0.83,CF-AYV99177.1.1.2_7252_relaxed,CF-AAB71133.1.1.4_7230_relaxed,92.8,N-terminal helicase domain of the DEAD-box helicase superfamily; cl28899,Pfam,DEAD/DEAH box helicase,25,4.0,131.0
