header,protein_id,Sort,pept_cat,protlen
AFJ52372.1_11920,AFJ52372.1,11920,protein,40
AAU11000.1_11898,AAU11000.1,11898,protein,40
AAU10958.1_11898,AAU10958.1,11898,protein,40
AUO15229.1_12445,AUO15229.1,12445,protein,40
AFK92475.1_12198,AFK92475.1,12198,protein,40
AUO15018.1_12445,AUO15018.1,12445,protein,40
AAK82187.1_11950,AAK82187.1,11950,protein,40
AAK82281.1_11950,AAK82281.1,11950,protein,40
APF29059.1_8875,APF29059.1,8875,protein,40
CAD2068386.1_11961,CAD2068386.1,11961,protein,40
AYH52276.1_12100,AYH52276.1,12100,protein,40
AOO54526.1_11976,AOO54526.1,11976,protein,40
AIE77240.1_12099,AIE77240.1,12099,protein,40
AAK81974.1_11950,AAK81974.1,11950,protein,40
AAX82333.1_11902,AAX82333.1,11902,protein,40
AAU10868.1_11898,AAU10868.1,11898,protein,40
AMZ05054.1_11919,AMZ05054.1,11919,protein,40
ABD60070.1_4679,ABD60070.1,4679,protein,40
AYH52277.1_12100,AYH52277.1,12100,protein,40
ADE34367.1_11905,ADE34367.1,11905,protein,40
AOC55214.1_11899,AOC55214.1,11899,protein,40
APO40585.1_10194,APO40585.1,10194,protein,40
AYA49812.1_129,AYA49812.1,129,protein,40
AOC55147.1_11899,AOC55147.1,11899,protein,40
AAK81946.1_11950,AAK81946.1,11950,protein,40
AAQ91777.1_12319,AAQ91777.1,12319,protein,40
AAK81993.1_11950,AAK81993.1,11950,protein,40
AOW42087.1_12116,AOW42087.1,12116,protein,40
AOR51377.1_9206,AOR51377.1,9206,protein,40
AAK81950.1_11950,AAK81950.1,11950,protein,40
APY28370.1_12117,APY28370.1,12117,protein,40
AAL98745.1_11901,AAL98745.1,11901,protein,40
AUO15147.1_12445,AUO15147.1,12445,protein,41
AAL98821.1_11901,AAL98821.1,11901,protein,41
AAX82377.1_11902,AAX82377.1,11902,protein,41
QHR78577.1_11900,QHR78577.1,11900,protein,41
AAU11038.1_11898,AAU11038.1,11898,protein,41
AAU10922.1_11898,AAU10922.1,11898,protein,41
AAS18047.1_11937,AAS18047.1,11937,protein,41
CAD2068368.1_11961,CAD2068368.1,11961,protein,41
CAD2068355.1_11961,CAD2068355.1,11961,protein,41
APG30984.1_4641,APG30984.1,4641,protein,41
AEL99907.1_4824,AEL99907.1,4824,protein,41
AAU21229.1_4792,AAU21229.1,4792,protein,41
AAK82269.1_11950,AAK82269.1,11950,protein,41
AUO15235.1_12445,AUO15235.1,12445,protein,41
AAK82300.1_11950,AAK82300.1,11950,protein,41
AEN03610.1_11993,AEN03610.1,11993,protein,41
UBZ25612.1_12430,UBZ25612.1,12430,protein,41
AAK82258.1_11950,AAK82258.1,11950,protein,41
AFR32486.1_65,AFR32486.1,65,protein,41
AAK82254.1_11950,AAK82254.1,11950,protein,41
ACO92358.1_10375,ACO92358.1,10375,protein,41
AAU10939.1_11898,AAU10939.1,11898,protein,41
AAK82197.1_11950,AAK82197.1,11950,protein,41
ACO92354.1_10374,ACO92354.1,10374,protein,41
AOC55163.1_11899,AOC55163.1,11899,protein,41
AUO14906.1_12445,AUO14906.1,12445,protein,41
AUO14981.1_12445,AUO14981.1,12445,protein,41
AFG73106.1_11924,AFG73106.1,11924,protein,41
AAK82011.1_11950,AAK82011.1,11950,protein,41
AAK82082.1_11950,AAK82082.1,11950,protein,41
AAU10852.1_11898,AAU10852.1,11898,protein,41
AUO14910.1_12445,AUO14910.1,12445,protein,41
AOC55210.1_11899,AOC55210.1,11899,protein,41
AAK81989.1_11950,AAK81989.1,11950,protein,41
AAK82044.1_11950,AAK82044.1,11950,protein,41
AUO14945.1_12445,AUO14945.1,12445,protein,41
AAK81990.1_11950,AAK81990.1,11950,protein,41
AAK82038.1_11950,AAK82038.1,11950,protein,41
AAK82014.1_11950,AAK82014.1,11950,protein,41
AMR98488.1_4508,AMR98488.1,4508,protein,41
AOC55087.1_11899,AOC55087.1,11899,protein,41
AUO14905.1_12445,AUO14905.1,12445,protein,41
AOC55155.1_11899,AOC55155.1,11899,protein,41
AAK82020.1_11950,AAK82020.1,11950,protein,41
AUO14882.1_12445,AUO14882.1,12445,protein,41
AUO14958.1_12445,AUO14958.1,12445,protein,41
AAU10879.1_11898,AAU10879.1,11898,protein,41
AOC55239.1_11899,AOC55239.1,11899,protein,41
AAK81959.1_11950,AAK81959.1,11950,protein,41
AAK82144.1_11950,AAK82144.1,11950,protein,41
AAK82177.1_11950,AAK82177.1,11950,protein,41
AWU47087.1_12003,AWU47087.1,12003,protein,41
AAU11048.1_11898,AAU11048.1,11898,protein,41
AAU11055.1_11898,AAU11055.1,11898,protein,41
AAK82276.1_11950,AAK82276.1,11950,protein,42
AAK82019.1_11950,AAK82019.1,11950,protein,42
AOR51383.1_9207,AOR51383.1,9207,protein,42
BAF95808.1_4817,BAF95808.1,4817,protein,42
BAF95814.1_4818,BAF95814.1,4818,protein,42
AJG05913.1_4821,AJG05913.1,4821,protein,42
AAK82272.1_11950,AAK82272.1,11950,protein,42
ACF42319.1_11925,ACF42319.1,11925,protein,42
AAU10850.1_11898,AAU10850.1,11898,protein,42
AAK81987.1_11950,AAK81987.1,11950,protein,42
AAK81941.1_11950,AAK81941.1,11950,protein,42
AAA79315.1_4497,AAA79315.1,4497,protein,42
AAK82160.1_11950,AAK82160.1,11950,protein,42
AAU10884.1_11898,AAU10884.1,11898,protein,42
AXN74935.1_12005,AXN74935.1,12005,protein,42
AAU10925.1_11898,AAU10925.1,11898,protein,42
AAK82267.1_11950,AAK82267.1,11950,protein,42
AAK81971.1_11950,AAK81971.1,11950,protein,42
AYN64717.1_12004,AYN64717.1,12004,protein,42
AOP31629.1_12011,AOP31629.1,12011,protein,42
AHL67579.1_11939,AHL67579.1,11939,protein,42
AAK82250.1_11950,AAK82250.1,11950,protein,42
AFG73145.1_11924,AFG73145.1,11924,protein,42
AAK82040.1_11950,AAK82040.1,11950,protein,42
AAK82243.1_11950,AAK82243.1,11950,protein,42
ABB92323.1_11926,ABB92323.1,11926,protein,42
APY28332.1_12117,APY28332.1,12117,protein,42
AAU11027.1_11898,AAU11027.1,11898,protein,42
AAU11034.1_11898,AAU11034.1,11898,protein,42
AFJ52361.1_11920,AFJ52361.1,11920,protein,42
CBH29259.1_11958,CBH29259.1,11958,protein,42
AOO54536.1_11976,AOO54536.1,11976,protein,42
AMZ05057.1_11919,AMZ05057.1,11919,protein,42
AUO15166.1_12445,AUO15166.1,12445,protein,42
QHR78576.1_11900,QHR78576.1,11900,protein,42
BBF72849.1_12132,BBF72849.1,12132,protein,42
AUO15142.1_12445,AUO15142.1,12445,protein,42
AKM05539.1_11968,AKM05539.1,11968,protein,42
AFJ52336.1_11920,AFJ52336.1,11920,protein,42
AAA65383.1_11957,AAA65383.1,11957,protein,42
AUO14965.1_12445,AUO14965.1,12445,protein,42
AUO15005.1_12445,AUO15005.1,12445,protein,42
AUO14924.1_12445,AUO14924.1,12445,protein,42
AUO15021.1_12445,AUO15021.1,12445,protein,42
AFJ52375.1_11920,AFJ52375.1,11920,protein,42
AMZ05043.1_11919,AMZ05043.1,11919,protein,42
AOC55235.1_11899,AOC55235.1,11899,protein,42
AKO62839.1_11962,AKO62839.1,11962,protein,42
CAD2068352.1_11961,CAD2068352.1,11961,protein,42
AMZ05018.1_11919,AMZ05018.1,11919,protein,42
AUO15214.1_12445,AUO15214.1,12445,protein,42
AUO15006.1_12445,AUO15006.1,12445,protein,42
AOP31840.1_12015,AOP31840.1,12015,protein,42
AUO14892.1_12445,AUO14892.1,12445,protein,42
AAU10996.1_11898,AAU10996.1,11898,protein,42
AUO14880.1_12445,AUO14880.1,12445,protein,42
AUO14982.1_12445,AUO14982.1,12445,protein,43
CAD2068370.1_11961,CAD2068370.1,11961,protein,43
AUO14988.1_12445,AUO14988.1,12445,protein,43
AUO15012.1_12445,AUO15012.1,12445,protein,43
AP_000404.1_12102,AP_000404.1,12102,protein,43
ABB92298.1_11926,ABB92298.1,11926,protein,43
AAN09921.1_4628,AAN09921.1,4628,protein,43
AUO15295.1_12445,AUO15295.1,12445,protein,43
AFJ52298.1_11920,AFJ52298.1,11920,protein,43
AAK82003.1_11950,AAK82003.1,11950,protein,43
QHR78575.1_11900,QHR78575.1,11900,protein,43
AAK81957.1_11950,AAK81957.1,11950,protein,43
AAK81966.1_11950,AAK81966.1,11950,protein,43
AAK81986.1_11950,AAK81986.1,11950,protein,43
AID46811.1_11982,AID46811.1,11982,protein,43
AWN01895.1_12343,AWN01895.1,12343,protein,43
AAL40487.1_12009,AAL40487.1,12009,protein,43
AAA66858.1_4627,AAA66858.1,4627,protein,43
AKJ93780.1_12010,AKJ93780.1,12010,protein,43
AFX59437.1_12437,AFX59437.1,12437,protein,43
AUO14959.1_12445,AUO14959.1,12445,protein,43
AEQ32228.1_102,AEQ32228.1,102,protein,43
AAK82051.1_11950,AAK82051.1,11950,protein,43
AAL98775.1_11901,AAL98775.1,11901,protein,43
AAL98813.1_11901,AAL98813.1,11901,protein,43
ABB92318.1_11926,ABB92318.1,11926,protein,43
AAK81995.1_11950,AAK81995.1,11950,protein,43
AUO15033.1_12445,AUO15033.1,12445,protein,43
AUO15299.1_12445,AUO15299.1,12445,protein,43
AFB76942.1_12016,AFB76942.1,12016,protein,43
AKM05538.1_11968,AKM05538.1,11968,protein,43
CAD2068524.1_11961,CAD2068524.1,11961,protein,43
AUO15172.1_12445,AUO15172.1,12445,protein,43
AAU10934.1_11898,AAU10934.1,11898,protein,43
AFD29207.1_10202,AFD29207.1,10202,protein,43
AUO15113.1_12445,AUO15113.1,12445,protein,43
AID46582.1_11983,AID46582.1,11983,protein,43
AAU11012.1_11898,AAU11012.1,11898,protein,43
AUO15179.1_12445,AUO15179.1,12445,protein,43
APY28350.1_12117,APY28350.1,12117,protein,43
AAK82260.1_11950,AAK82260.1,11950,protein,43
AUO15190.1_12445,AUO15190.1,12445,protein,43
AJL34242.1_11967,AJL34242.1,11967,protein,43
AUO15283.1_12445,AUO15283.1,12445,protein,43
AAK82287.1_11950,AAK82287.1,11950,protein,43
AUO15102.1_12445,AUO15102.1,12445,protein,43
AUO15044.1_12445,AUO15044.1,12445,protein,43
AAU11040.1_11898,AAU11040.1,11898,protein,43
AAK82104.1_11950,AAK82104.1,11950,protein,43
AUD40173.1_11978,AUD40173.1,11978,protein,43
AMZ04980.1_11919,AMZ04980.1,11919,protein,43
AAU11069.1_11898,AAU11069.1,11898,protein,43
AAK82151.1_11950,AAK82151.1,11950,protein,43
AAK82125.1_11950,AAK82125.1,11950,protein,43
AAU11062.1_11898,AAU11062.1,11898,protein,43
AAK82171.1_11950,AAK82171.1,11950,protein,43
AAC95516.1_8847,AAC95516.1,8847,protein,44
CAB46513.1_4632,CAB46513.1,4632,protein,44
AZM32623.1_11930,AZM32623.1,11930,protein,44
AAX82397.1_11902,AAX82397.1,11902,protein,44
AFQ90261.1_4634,AFQ90261.1,4634,protein,44
AAN04318.1_12427,AAN04318.1,12427,protein,44
AZK31328.1_8843,AZK31328.1,8843,protein,44
AZQ20800.1_11907,AZQ20800.1,11907,protein,44
AKB94039.1_4635,AKB94039.1,4635,protein,44
AAA66838.1_4636,AAA66838.1,4636,protein,44
QHR78574.1_11900,QHR78574.1,11900,protein,44
AAA66862.1_4627,AAA66862.1,4627,protein,44
AAN09920.1_4628,AAN09920.1,4628,protein,44
AOP12500.1_4795,AOP12500.1,4795,protein,44
AFR76817.1_4633,AFR76817.1,4633,protein,44
ABB92301.1_11926,ABB92301.1,11926,protein,44
AMZ05009.1_11919,AMZ05009.1,11919,protein,44
AAU11057.1_11898,AAU11057.1,11898,protein,44
AAU10889.1_11898,AAU10889.1,11898,protein,44
AUO15081.1_12445,AUO15081.1,12445,protein,44
AUO15122.1_12445,AUO15122.1,12445,protein,44
AAK82230.1_11950,AAK82230.1,11950,protein,44
AEN03724.1_11993,AEN03724.1,11993,protein,44
AEN03596.1_11993,AEN03596.1,11993,protein,44
AAK82155.1_11950,AAK82155.1,11950,protein,44
AUO15177.1_12445,AUO15177.1,12445,protein,44
AAK82319.1_11950,AAK82319.1,11950,protein,44
AAU11011.1_11898,AAU11011.1,11898,protein,44
AAK82262.1_11950,AAK82262.1,11950,protein,44
AAK82265.1_11950,AAK82265.1,11950,protein,44
AUO15230.1_12445,AUO15230.1,12445,protein,44
AUO15308.1_12445,AUO15308.1,12445,protein,44
AAU10975.1_11898,AAU10975.1,11898,protein,44
AAK82289.1_11950,AAK82289.1,11950,protein,44
AAO89315.1_12013,AAO89315.1,12013,protein,44
AXN74789.1_12005,AXN74789.1,12005,protein,44
AUO15056.1_12445,AUO15056.1,12445,protein,44
AMZ05013.1_11919,AMZ05013.1,11919,protein,44
ABQ43596.1_12028,ABQ43596.1,12028,protein,44
AMZ05067.1_11919,AMZ05067.1,11919,protein,44
AAA79316.1_4497,AAA79316.1,4497,protein,44
AOC55130.1_11899,AOC55130.1,11899,protein,44
AFJ52327.1_11920,AFJ52327.1,11920,protein,44
AFJ52331.1_11920,AFJ52331.1,11920,protein,44
AAK82004.1_11950,AAK82004.1,11950,protein,44
AUO14983.1_12445,AUO14983.1,12445,protein,44
AAK82018.1_11950,AAK82018.1,11950,protein,44
ACF42294.1_11925,ACF42294.1,11925,protein,44
AAK82052.1_11950,AAK82052.1,11950,protein,44
AUO15023.1_12445,AUO15023.1,12445,protein,44
AAU10882.1_11898,AAU10882.1,11898,protein,44
AAU11075.1_11898,AAU11075.1,11898,protein,44
AAR07477.1_12029,AAR07477.1,12029,protein,44
AFJ52385.1_11920,AFJ52385.1,11920,protein,44
AOC55250.1_11899,AOC55250.1,11899,protein,44
AAU11035.1_11898,AAU11035.1,11898,protein,44
AXN75002.1_12005,AXN75002.1,12005,protein,44
AAP41044.1_10193,AAP41044.1,10193,protein,44
AAU10970.1_11898,AAU10970.1,11898,protein,45
AKJ32601.1_12325,AKJ32601.1,12325,protein,45
AUO15219.1_12445,AUO15219.1,12445,protein,45
AUO15001.1_12445,AUO15001.1,12445,protein,45
AUO15232.1_12445,AUO15232.1,12445,protein,45
AUO15159.1_12445,AUO15159.1,12445,protein,45
AAK81988.1_11950,AAK81988.1,11950,protein,45
AGL34703.1_12103,AGL34703.1,12103,protein,45
CAD2068514.1_11961,CAD2068514.1,11961,protein,45
ANK58083.1_11931,ANK58083.1,11931,protein,45
AAK82185.1_11950,AAK82185.1,11950,protein,45
AEU12349.1_10147,AEU12349.1,10147,protein,45
AUO15206.1_12445,AUO15206.1,12445,protein,45
AAK82007.1_11950,AAK82007.1,11950,protein,45
AJL34249.1_11967,AJL34249.1,11967,protein,45
AAX82413.1_11902,AAX82413.1,11902,protein,45
AAK82195.1_11950,AAK82195.1,11950,protein,45
QGQ62455.1_12105,QGQ62455.1,12105,protein,45
ABB92347.1_11926,ABB92347.1,11926,protein,45
AAU11014.1_11898,AAU11014.1,11898,protein,45
ABI13929.1_12325,ABI13929.1,12325,protein,45
AID46667.1_11983,AID46667.1,11983,protein,45
AAK82121.1_11950,AAK82121.1,11950,protein,45
AUO14955.1_12445,AUO14955.1,12445,protein,45
AOC55198.1_11899,AOC55198.1,11899,protein,45
AAU11017.1_11898,AAU11017.1,11898,protein,45
AAR83441.1_11977,AAR83441.1,11977,protein,45
ALR71547.1_12326,ALR71547.1,12326,protein,45
ALR71669.1_12326,ALR71669.1,12326,protein,45
CAO98977.1_12736,CAO98977.1,12736,protein,45
AST09342.1_11992,AST09342.1,11992,protein,45
AAK82092.1_11950,AAK82092.1,11950,protein,45
AAU10906.1_11898,AAU10906.1,11898,protein,45
AJL34084.1_11966,AJL34084.1,11966,protein,45
APT40625.1_10141,APT40625.1,10141,protein,45
AAK82158.1_11950,AAK82158.1,11950,protein,45
AAK82098.1_11950,AAK82098.1,11950,protein,45
AAK82049.1_11950,AAK82049.1,11950,protein,45
ABG76846.1_9018,ABG76846.1,9018,protein,45
AUO15273.1_12445,AUO15273.1,12445,protein,45
AJD09172.1_12341,AJD09172.1,12341,protein,45
AID46897.1_11982,AID46897.1,11982,protein,45
ABY73455.1_4810,ABY73455.1,4810,protein,45
AUO15117.1_12445,AUO15117.1,12445,protein,45
AAK81961.1_11950,AAK81961.1,11950,protein,45
CAG17450.1_12723,CAG17450.1,12723,protein,45
ATI21112.1_12000,ATI21112.1,12000,protein,45
AAK82223.1_11950,AAK82223.1,11950,protein,46
AAK82118.1_11950,AAK82118.1,11950,protein,46
ANZ56984.1_11915,ANZ56984.1,11915,protein,46
AAU10914.1_11898,AAU10914.1,11898,protein,46
ABC61175.1_12391,ABC61175.1,12391,protein,46
AAK81958.1_11950,AAK81958.1,11950,protein,46
AKJ32597.1_12325,AKJ32597.1,12325,protein,46
ATI21070.1_12001,ATI21070.1,12001,protein,46
AIW68559.1_11911,AIW68559.1,11911,protein,46
AAU10858.1_11898,AAU10858.1,11898,protein,46
AAK82072.1_11950,AAK82072.1,11950,protein,46
APY28338.1_12117,APY28338.1,12117,protein,46
AMZ05040.1_11919,AMZ05040.1,11919,protein,46
AUO15045.1_12445,AUO15045.1,12445,protein,46
AAK82113.1_11950,AAK82113.1,11950,protein,46
AFX59488.1_12437,AFX59488.1,12437,protein,46
AAK82239.1_11950,AAK82239.1,11950,protein,46
AUO15224.1_12445,AUO15224.1,12445,protein,46
AFJ52358.1_11920,AFJ52358.1,11920,protein,46
AAK82022.1_11950,AAK82022.1,11950,protein,46
AAU10972.1_11898,AAU10972.1,11898,protein,46
AAK82241.1_11950,AAK82241.1,11950,protein,46
QHR78573.1_11900,QHR78573.1,11900,protein,46
AMZ05033.1_11919,AMZ05033.1,11919,protein,46
AAU10876.1_11898,AAU10876.1,11898,protein,46
AXN74812.1_12005,AXN74812.1,12005,protein,46
ALR71571.1_12326,ALR71571.1,12326,protein,46
AAU10950.1_11898,AAU10950.1,11898,protein,46
QBK47215.1_9210,QBK47215.1,9210,protein,46
AUO15294.1_12445,AUO15294.1,12445,protein,46
ALR71594.1_12326,ALR71594.1,12326,protein,46
AGX93327.1_12121,AGX93327.1,12121,protein,46
ABV27565.1_4637,ABV27565.1,4637,protein,46
AUO15129.1_12445,AUO15129.1,12445,protein,46
ANS71131.1_12022,ANS71131.1,12022,protein,46
AAK82046.1_11950,AAK82046.1,11950,protein,46
AAK82128.1_11950,AAK82128.1,11950,protein,46
ASQ42828.1_11916,ASQ42828.1,11916,protein,46
AAU11049.1_11898,AAU11049.1,11898,protein,46
AFJ52351.1_11920,AFJ52351.1,11920,protein,46
AAK81991.1_11950,AAK81991.1,11950,protein,46
AKJ32600.1_12325,AKJ32600.1,12325,protein,46
AKS25459.1_12388,AKS25459.1,12388,protein,46
AFK29213.1_12114,AFK29213.1,12114,protein,46
AMR98489.1_4508,AMR98489.1,4508,protein,46
AAK81999.1_11950,AAK81999.1,11950,protein,46
AUO15094.1_12445,AUO15094.1,12445,protein,46
AAK82053.1_11950,AAK82053.1,11950,protein,46
ACF42323.1_11925,ACF42323.1,11925,protein,46
AAP33248.1_11910,AAP33248.1,11910,protein,46
AAK82302.1_11950,AAK82302.1,11950,protein,46
AFA44972.1_11912,AFA44972.1,11912,protein,46
