acc,seg,Sort
DQ080080,,4549
M62849,,4550
U21941,,4551
X74479,,4552
X77858,,4553
X74463,,4554
AF419318,,4555
AJ620205,,4556
X74478,,4557
K02718,,4558
D21208,,4559
D90400,,4560
J04353,,4561
M12732,,4562
X74477,,4563
X74481,,4564
M17463,,4565
AY382778,,4566
EF028290,,4567
FM955837,,4568
FM955838,,4569
FM955841,,4570
GQ246951,,4571
GQ845446,,4572
GU014533,,4573
HM999995,,4574
JF304768,,4575
M12737,,4576
M32305,,4577
U31778,,4578
U31779,,4579
U31782,,4580
U31785,,4581
X74466,,4582
X74467,,4583
X74470,,4584
X74471,,4585
X74464,,4586
EF422221,,4587
EU410348,,4588
EU410349,,4589
FM955839,,4590
FM955840,,4591
FM955842,,4592
FN677756,,4593
GQ845442,,4594
GQ845444,,4595
HE963025,,4596
HF930491,,4597
HM999997,,4598
U31780,,4599
U31781,,4600
U31786,,4601
U31787,,4602
X74468,,4603
X74469,,4604
Y15176,,4605
X74480,,4606
FJ947080,,4607
Y15173,,4608
Y15174,,4609
AF531420,,4610
AY382779,,4611
FN677755,,4612
GU014531,,4613
DQ295066,,4614
FJ492743,,4615
JF800656,,4616
JF800658,,4617
JQ754321,,4618
KT326919,,4619
KT901797,,4620
EF584537,,4621
KP099966,,4622
HQ262536,,4623
JF800657,,4624
JQ701802,,4625
JX899359,,4626
M15953,,4627
AF443292,,4628
M11910,,4629
U83594,,4630
U83595,,4631
X02346,,4632
JQ798171,,4633
JX174437,,4634
KP276343,,4635
M20219,,4636
EF680235,,4637
KT626573,,4638
HQ912790,,4639
HQ912791,,4640
KX954132,,4641
KF741371,,4642
EF395818,,4643
EU188799,,4644
FJ379293,,4645
GU384895,,4646
EU503122,,4647
JQ031032,,4648
JQ031033,,4649
FJ796965,,4650
KC876045,,4651
KU519391,,4652
KU519393,,4653
KT932713,,4654
GU220391,,4655
HQ262535,,4656
HQ293213,,4657
KC858264,,4658
JF304765,,4659
JF304766,,4660
JF304767,,4661
KP861980,,4662
KC460987,,4663
GU117623,,4664
KC858263,,4665
KC858265,,4666
JQ965698,,4667
JX035935,,4668
KC020689,,4669
JQ692938,,4670
EU796884,,4671
JX123128,,4672
DQ217793,,4673
KU519394,,4674
KU519396,,4675
EU493092,,4676
EU493091,,4677
AF457465,,4678
DQ098913,,4679
KU350625,,4680
AY057109,,4681
X70827,,4682
AJ620210,,4683
KF006400,,4684
KT698167,,4685
X70829,,4686
GQ845443,,4687
GU117630,,4688
GU117633,,4689
HM999994,,4690
KC108722,,4691
AB646346,,4692
HM999988,,4693
HM999992,,4694
HM999993,,4695
JN211193,,4696
JX413105,,4697
KF006398,,4698
KP692116,,4699
HM011570,,4700
KT698166,,4701
GU117632,,4702
GU129016,,4703
JX444072,,4704
KJ913662,,4705
KT698168,,4706
GU225708,,4707
JN171845,,4708
GU117631,,4709
HM999987,,4710
HG421739,,4711
HM999998,,4712
HM999989,,4713
HM999996,,4714
JX429973,,4715
JX413109,,4716
JX413104,,4717
JX413108,,4718
U31789,,4719
KP692114,,4720
JX413107,,4721
KC862318,,4722
KF006399,,4723
KC108721,,4724
KJ130020,,4725
KM085343,,4726
HG530535,,4727
KR816174,,4728
KP692115,,4729
U31790,,4730
U31792,,4731
EF467176,,4732
DQ080081,,4733
DQ080078,,4734
FM212639,,4735
EU541441,,4736
GQ845445,,4737
GU117629,,4738
GU117634,,4739
HM999990,,4740
HM999991,,4741
JF906559,,4742
JX413110,,4743
EU541442,,4744
GQ845441,,4745
HM999999,,4746
JX413106,,4747
KC862317,,4748
FJ804072,,4749
GU233853,,4750
U01834,,4751
HQ625441,,4752
KT945134,,4753
JF755418,,4754
AF227240,,4755
K02708,,4756
AF480454,,4757
AY904722,,4758
AY904723,,4759
AY904724,,4760
DQ180494,,4761
D55633,,4762
FJ492744,,4763
AY763115,,4764
KJ410351,,4765
HQ585856,,4766
V01116,,4767
X70828,,4768
KP769769,,4769
X56147,,4770
EF536349,,4771
AJ238373,,4772
GU117621,,4773
JN709470,,4774
JN709471,,4775
DQ091200,,4776
HG530538,,4777
HG939559,,4778
DQ664501,,4779
DQ269468,,4780
GQ180114,,4781
GU808564,,4782
HQ625440,,4783
DQ366842,,4784
KX276957,,4785
KX276956,,4786
AY609301,,4787
JN709473,,4788
KP205502,,4789
KP205503,,4790
AY684126,,4791
AY722648,,4792
FJ492742,,4793
KT272399,,4794
KX599536,,4795
JX141478,,4796
JX972168,,4797
KF147892,,4798
KF006988,,4799
AF502599,,4800
KC858266,,4801
KJ173785,,4802
MF168943,,4803
KF857586,,4804
JQ814847,,4805
KU963288,,4806
KP757765,,4807
KJ452243,,4808
EU240894,,4809
EU240895,,4810
GU117620,,4811
JN709469,,4812
JN709472,,4813
AY956402,,4814
GU117622,,4815
AF486184,,4816
AB331650,,4817
AB331651,,4818
AB543507,,4819
AJ620208,,4820
KM983393,,4821
KX098515,,4822
X05817,,4823
JF834523,,4824
KC810012,,4825
KU519392,,4826
KT932712,,4827
AF498323,,4828
KX643372,,4829
KM052275,,4830
MN190158,,4831
KP410261,,4832
KY548840,,4833
AY189948,,4834
KU727766,,4835
MN765191,,4836
MN099038,,4837
MT734807,,4838
KX165268,,4839
MN364694,,4840
MN765189,,4841
FJ040397,,4842
AY148187,,4843
MT734808,,4844
KX035107,,4845
AY033435,,4846
AF375296,,4847
AY665654,,4848
JX110122,,4849
HQ613271,,4850
KF275669,,4851
MK643151,,4852
MT498824,,4853
AF192260,,4854
MT341473,,4855
FJ810126,,4856
MW306771,,4857
L32896,,4858
AY032882,,4859
KC991097,,4860
MT734804,,4861
MT734805,,4862
HQ827781,,4863
MT734806,,4864
KY214444,,4865
MK543949,,4866
EU233812,,4867
X74945,,4868
MT247758,,4869
MT247759,,4870
MT247760,,4871
MT247730,,4872
MW306775,,4873
MW306778,,4874
MN175612,,4875
MH893826,,4876
MN396757,,4877
MN166196,,4878
KX907333,,4879
MK513528,,4880
MK513529,,4881
MK513533,,4882
KF925531,,4883
MG846442,,4884
KM254174,,4885
MK988619,,4886
MK988620,,4887
KY312548,,4888
KY312549,,4889
KY312550,,4890
KY312551,,4891
MT393593,,4892
MN265364,,4893
MN312221,,4894
MN175613,,4895
MZ364297,,4896
MH670587,,4897
KX272741,,4898
MT580795,,4899
MG543471,,4900
GU371276,,4901
MN049932,,4902
AF273215,,4903
M20036,,4904
JN202450,,4905
KJ396347,,4906
KX981923,,4907
KT878839,,4908
MT770849,,4909
MZ357124,,4910
JQ037754,,4911
KC876004,,4912
GU214706,,4913
KY312546,,4914
MG745672,,4915
FJ214110,,4916
JN648103,,4917
JQ692585,,4918
KF792837,,4919
KM017744,,4920
KU950356,,4921
KC580640,,4922
JQ814850,,4923
KC339251,,4924
KC339250,,4925
KU321654,,4926
MF682925,,4927
KY214448,,4928
KP729195,,4929
JN420361,,4930
JN420365,,4931
JQ923422,,4932
FJ170278,,4933
MN091929,,4934
KT454512,,4935
MF175080,,4936
MG745673,,4937
DQ335247,,4938
HM053693,,4939
HQ223038,,4940
HQ291308,,4941
JF429834,,4942
KU172421,,4943
KY640430,,4944
KY640438,,4945
MK014742,,4946
KM035804,,4947
AF406966,,4948
GQ387499,,4949
MK091524,,4950
KX384823,,4951
KY019139,,4952
MG136722,,4953
MN181466,,4954
MZ100069,,4955
U22967,,4956
AY186198,,4957
MN175614,,4958
MN794870,,4959
GU226971,,4960
MG745677,,4961
AF085716,,4962
JN420372,,4963
AF043303,,4964
MF416383,,4965
MF416384,,4966
AY349010,,4967
KP733794,,4968
KF373759,,4969
AY386330,,4970
U26342,,4971
AF221122,,4972
AF221123,,4973
GQ200736,,4974
AF406967,,4975
KP120516,,4976
M19296,,4977
KU561552,,4978
MF198244,,4979
KC692368,,4980
MZ813278,,4981
LC085675,,4982
AB937988,,4983
KJ495710,,4984
MN982959,,4985
JX027296,,4986
JX627576,,4987
KT868811,,4988
J02275,,4989
AF036710,,4990
KT716186,,4991
L23427,,4992
KT965075,,4993
MW814911,,4994
OK236393,,4995
JQ037753,,4996
MG745671,,4997
AY622943,,4998
MG745670,,4999
EU200669,,5000
EU200677,,5001
GU938300,,5002
JF504699,,5003
MK028683,,5004
KY405008,,5008
KY405007,,5015
KY405006,,5016
GU799606,,5027
KT783484,,5028
MN371255,,5029
JQ814849,,5030
AJ301633,,5031
KC241982,,5032
JQ011377,,5033
JX863737,,5034
KJ641716,,5035
LC416389,,5036
KY370037,,5037
AY228555,,5038
MN585201,,5039
GQ404856,,5040
DQ845075,,5041
MW686208,,5042
KY370027,,5043
AJ304456,,5044
MF497827,,5045
DQ845074,,5046
OM869597,,5047
KX756986,,5048
GQ404851,,5049
KJ641741,,5050
KY370042,,5051
KJ641723,,5052
MW881235,,5053
MZ382570,,5054
KJ020099,,5055
MT610105,,5056
MT610106,,5057
KJ641711,,5058
MH188038,,5059
MZ604582,,5060
AF071878,,5061
MZ604590,,5062
MN164703,,5063
KX987146,,5064
AF252610,,5065
MN928506,,5066
AF071879,,5067
AY651850,,5068
KT869077,,5069
MK986820,,5070
KJ641724,,5071
DQ146997,,5072
KY370039,,5073
KY370034,,5074
KY370029,,5075
KJ641727,,5076
KX756996,,5077
DQ172906,,5078
EU056309,,5079
MN164712,,5080
OL704833,,5081
KC339249,,5082
ON596197,,5083
MN103538,,5084
KU230452,,5085
KP793918,,5086
MH545516,,5087
HQ738643,,5088
ON324071,,5089
KC512918,,5090
HQ738636,,5091
GQ404857,,5092
KM382270,,5093
ON324104,,5094
KR902499,,5095
MZ350969,,5096
KM382269,,5097
ON324107,,5098
HQ738637,,5099
OM262456,,5100
MN176052,,5101
ON324069,,5102
HQ738634,,5103
KM017740,,5104
GQ404845,,5105
KF726984,,5106
ON324066,,5107
GQ404844,,5108
HM228874,,5109
JF938079,,5110
KY851116,,5111
OM869613,,5112
KJ641720,,5113
JF938081,,5114
JX185419,,5115
ON324100,,5116
JX185426,,5117
MZ350973,,5118
KJ641740,,5119
OM262459,,5120
GQ404847,,5121
KJ831064,,5122
GQ404846,,5123
KU053483,,5124
MH545511,,5125
ON324103,,5126
ON596195,,5127
GQ404854,,5128
ON596196,,5129
KC771281,,5130
OL704826,,5131
OL704828,,5132
GQ404855,,5133
MZ382573,,5134
MG846358,,5135
KT878836,,5136
KJ641715,,5137
KC512919,,5138
ON324108,,5139
MT766312,,5140
MZ382572,,5141
KF031466,,5142
KJ641728,,5143
KT732786,,5145
KT732785,,5146
KT732787,,5147
MZ350965,,5148
KY370026,,5149
KJ641712,,5150
ON596192,,5151
MZ350968,,5152
OM262453,,5153
MZ350966,,5154
KY370028,,5155
LC018134,,5156
JX569794,,5157
MK947371,,5158
OM869595,,5159
MZ350967,,5160
OM262451,,5161
OM262452,,5162
JF938082,,5163
GQ404849,,5164
ON324106,,5165
JX185422,,5166
KC512920,,5167
JX185424,,5168
MZ350964,,5169
MT766309,,5170
KC512916,,5171
OL704827,,5172
OM262457,,5173
KJ641717,,5174
OM262458,,5175
LC386204,,5194
KT862223,,5195
KT862229,,5196
JN634851,,5197
KT862222,,5198
KM598409,,5199
KT862228,,5200
KM598410,,5201
KT862224,,5202
KM573769,,5203
KM573774,,5204
MK796234,,5205
KY086301,,5206
KY086300,,5207
KP233180,,5208
KP233174,,5209
KP233178,,5210
MH500283,,5211
MN928918,,5212
MG641190,,5213
MN175615,,5214
LC386197,,5215
KT862218,,5216
MF669478,,5217
KM573772,,5218
KM573770,,5219
KM573771,,5220
KM573775,,5221
MK570200,,5222
KY086298,,5223
MN379619,,5224
MN379623,,5225
MN379620,,5226
MN379627,,5227
MN379621,,5228
MN379622,,5229
GQ351272,,5230
GQ351273,,5231
MH545525,,5232
MH500307,,5233
KP233191,,5234
KP233189,,5235
KT600068,,5236
KP233190,,5237
MG522850,,5238
MH111125,,5239
KP233194,,5240
MK796236,,5241
MK796235,,5242
KU043421,,5243
KU043429,,5244
KU058671,,5245
KU043403,,5246
MH616866,,5247
KU043396,,5248
LC386195,,5249
MN928919,,5250
JX274036,,5251
KT862225,,5252
MH111138,,5253
MH500297,,5254
MH500303,,5255
MH500301,,5256
MH500286,,5257
MH500298,,5258
MH500284,,5259
MH111148,,5260
MH111126,,5261
KC545226,,5262
MH500289,,5263
KC545227,,5264
KJ577810,,5265
KJ577811,,5266
KJ577819,,5267
KJ577812,,5268
KJ577817,,5269
KJ577816,,5270
KP860906,,5271
KT862220,,5272
KT862221,,5273
KT862219,,5274
KF880727,,5275
LC386199,,5276
LC386200,,5277
KY052047,,5306
MK059755,,5307
MK059757,,5308
MK059754,,5309
MK059756,,5310
MK059759,,5311
MK059758,,5312
KY349925,,5313
MH973742,,5314
MK059763,,5315
MK059761,,5316
MK059772,,5317
MK059765,,5318
MK059762,,5319
MK059764,,5320
MK059760,,5321
MK059766,,5322
MK059768,,5323
MK059771,,5324
MK059767,,5325
MK059770,,5326
MK059769,,5327
KY244146,,5328
KY328746,,5329
KY328745,,5330
KY328744,,5331
MK032723,,6095
MG641204,,6096
MG641207,,6097
MN928911,,6098
MK433234,,6100
MK433239,,6101
MK433236,,6102
MK433241,,6103
MK433237,,6104
MK433242,,6105
KY230614,,6106
KF371643,,6107
KT862253,,6108
KT862243,,6112
KT862242,,6113
KT309029,,6114
MH545503,,6116
MG571096,,6117
MG571098,,6118
MG571099,,6119
MG571100,,6120
MG571101,,6121
MF173065,,6122
JX185429,,6124
KY308268,,6125
KT862248,,6126
MH545509,,6127
KF371638,,6129
KF371636,,6130
KF371637,,6131
KF371639,,6132
MF327560,,6133
MF327565,,6134
MF327568,,6135
MF327561,,6136
MF327567,,6137
MF327569,,6138
MF327558,,6139
MF327570,,6140
MK570217,,6141
MK570210,,6142
MK032737,,6143
MK032733,,6144
MK249235,,6145
MK249242,,6146
MK483072,,6147
MF173067,,6149
KT862245,,6150
MG641191,,6153
MG641205,,6154
MG641202,,6155
MG641211,,6156
MG641192,,6157
MG641194,,6158
MG641201,,6159
MG641197,,6160
KF371635,,6161
KJ641719,,6162
MK032736,,6163
MK032701,,6164
MK032712,,6165
MK032709,,6166
MH617534,,6167
KP263547,,6169
HQ335086,,6170
MK032728,,6171
MK032705,,6172
MK032718,,6173
MK032702,,6174
MK032755,,6175
MK032715,,6176
MK032719,,6177
MK032753,,6178
MK032735,,6179
MK032738,,6180
MK032752,,6181
MK032714,,6182
KM598385,,6183
KM598387,,6184
KY302866,,6188
KT862250,,6190
KF371640,,6191
KT732804,,6192
KT732794,,6193
KT732792,,6194
KT732797,,6195
KT732814,,6196
KT732801,,6197
KT732803,,6198
KT732807,,6199
KT732806,,6200
KT732795,,6201
MK032754,,6202
KR912221,,6203
MK738141,,6204
KY312557,,6205
KT862249,,6213
MH545510,,6214
MG917675,,6217
MK012473,,6219
MK433240,,6222
KY230613,,6223
JX185428,,6224
MK483075,,6225
MK483080,,6226
MK483077,,6227
MK032731,,6230
MK032726,,6231
KY312558,,6232
KT862254,,6233
MK483078,,6234
KT862238,,6235
KT732790,,6238
KF371632,,6240
MK032696,,6241
MK032759,,6242
KY214433,,6243
KP263543,,6244
KY230625,,6245
KF371633,,6246
KF371634,,6247
LK931483,,6248
KY214441,,6249
MF669480,,6250
MH545507,,6251
JX185430,,6253
KY308269,,6254
MN379612,,6255
MN379615,,6256
MN379608,,6257
MF327571,,6258
MK032708,,6259
MK249305,,6260
MF373638,,6261
MK249239,,6262
MK249240,,6263
MK249294,,6264
MK050014,,6265
LK931485,,6266
KP133075,,6267
KP987887,,6268
KT363839,,6269
KU343137,,6270
MK483076,,6271
MK483073,,6272
MK483084,,6273
MK032742,,6274
KP263545,,6275
MK032703,,6276
MK032748,,6277
MK032749,,6278
MK032721,,6279
KT732813,,6282
MK032704,,6283
KJ641737,,6284
KJ641726,,6285
MK012443,,6288
MK032756,,6290
MK032717,,6291
MF173066,,6293
MH545499,,6294
KY308270,,6295
MK570209,,6296
MK570213,,6297
MK032747,,6298
MG641203,,6300
KT732798,,6303
KT732800,,6304
MH545501,,6305
MK032739,,6306
MK032716,,6307
MH973741,,6308
LK931484,,6309
KJ938717,,6310
MN379609,,6311
KY056250,,6312
MN379605,,6313
MN379614,,6314
MN379604,,6315
MF327559,,6316
MK032724,,6317
MT649486,,6318
MK032727,,6320
MK249245,,6321
MK483082,,6322
KF371631,,6324
KF371630,,6327
KP974693,,6329
MK032710,,6330
MK032740,,6331
AY542965,,6426
U94887,Seg1,6428
AF021235,Seg2,6428
M94681,Seg3,6428
D14402,Seg4,6428
U73658,Seg5,6428
M94682,Seg6,6428
D12533,Seg7,6428
M69090,Seg8,6428
U33000,Seg9,6428
D12479,Seg10,6428
X12819,Seg1,6429
M11787,Seg2,6429
M22096,Seg3,6429
Y00421,Seg4,6429
Y00422,Seg5,6429
D12532,Seg6,6429
X06463,Seg7,6429
D00500,Seg8,6429
D00509,Seg9,6429
M28981,Seg10,6429
KF624614,Seg1,6430
KF624615,Seg2,6430
KF624616,Seg3,6430
KF624617,Seg4,6430
KF624618,Seg5,6430
KF624619,Seg6,6430
KF624620,Seg7,6430
KF624621,Seg8,6430
KF624622,Seg9,6430
KF624623,Seg10,6430
KP268794,Seg1,6431
KP268795,Seg2,6431
KP268796,Seg3,6431
KP268797,Seg4,6431
KP268798,Seg5,6431
KP268799,Seg6,6431
KP268800,Seg7,6431
KP268801,Seg8,6431
KP268802,Seg9,6431
KP268803,Seg10,6431
KP268784,Seg1,6432
KP268785,Seg2,6432
KP268786,Seg3,6432
KP268787,Seg4,6432
KP268788,Seg5,6432
KP268789,Seg6,6432
KP268790,Seg7,6432
KP268791,Seg8,6432
KP268792,Seg9,6432
KP268793,Seg10,6432
KC853042,Seg1,6433
KC853043,Seg2,6433
KC853044,Seg3,6433
KC853045,Seg4,6433
KC853046,Seg5,6433
KC853047,Seg6,6433
KC853048,Seg7,6433
KC853049,Seg8,6433
KC853050,Seg9,6433
KC853051,Seg10,6433
AM744977,Seg1,6434
AM744978,Seg2,6434
AM744979,Seg3,6434
AM744980,Seg4,6434
AM744981,Seg5,6434
AM744982,Seg6,6434
AM744983,Seg7,6434
AM744984,Seg8,6434
AM744985,Seg9,6434
AM744986,Seg10,6434
FJ183384,Seg1,6435
FJ183385,Seg2,6435
FJ183386,Seg3,6435
FJ183387,Seg4,6435
FJ183388,Seg5,6435
FJ183389,Seg6,6435
FJ183391,Seg7,6435
FJ183390,Seg8,6435
FJ183392,Seg9,6435
FJ183393,Seg10,6435
JQ070376,Seg1,6436
JQ070377,Seg2,6436
JQ070378,Seg3,6436
JQ070379,Seg4,6436
JQ070380,Seg5,6436
JQ070381,Seg6,6436
JQ070382,Seg7,6436
JQ070383,Seg8,6436
JQ070384,Seg9,6436
JQ070385,Seg10,6436
HM543465,Seg1,6437
HM543466,Seg2,6437
HM543467,Seg3,6437
HM543468,Seg4,6437
HM543469,Seg5,6437
HM543470,Seg6,6437
HM543471,Seg7,6437
HM543472,Seg8,6437
HM543473,Seg9,6437
HM543474,Seg10,6437
JQ610665,Seg1,6439
JQ610666,Seg2,6439
JQ610667,Seg3,6439
JQ610668,Seg4,6439
JQ610669,Seg5,6439
JQ610670,Seg6,6439
JQ610671,Seg7,6439
JQ610672,Seg8,6439
JQ610673,Seg9,6439
JQ610674,Seg10,6439
JQ610675,Seg1,6440
JQ610676,Seg2,6440
JQ610677,Seg3,6440
JQ610678,Seg4,6440
JQ610679,Seg5,6440
JQ610680,Seg6,6440
JQ610681,Seg7,6440
JQ610682,Seg8,6440
JQ610683,Seg9,6440
JQ610684,Seg10,6440
AB018086,Seg1,6441
AB014725,Seg2,6441
AB014728,Seg3,6441
AB018087,Seg4,6441
AB018089,Seg5,6441
AB014726,Seg6,6441
AB014727,Seg7,6441
AB018090,Seg8,6441
AB018088,Seg9,6441
AB018091,Seg10,6441
DQ248057,Seg1,6442
DQ248058,Seg2,6442
DQ248059,Seg3,6442
DQ248060,Seg4,6442
DQ248064,Seg5,6442
DQ248061,Seg6,6442
DQ248065,Seg7,6442
DQ248063,Seg8,6442
DQ248062,Seg9,6442
DQ248066,Seg10,6442
AF133431,Seg1,6443
AF133432,Seg2,6443
AF145400,Seg3,6443
AF145401,Seg4,6443
AF145402,Seg5,6443
AF145403,Seg6,6443
AF145404,Seg7,6443
AF145405,Seg8,6443
AF145406,Seg9,6443
AF145407,Seg10,6443
HQ842619,Seg1,6444
HQ842620,Seg2,6444
HQ842621,Seg3,6444
HQ842622,Seg4,6444
HQ842623,Seg5,6444
HQ842624,Seg6,6444
HQ842625,Seg7,6444
HQ842626,Seg8,6444
HQ842627,Seg9,6444
HQ842628,Seg10,6444
KP268804,Seg1,6445
KP268805,Seg2,6445
KP268806,Seg3,6445
KP268807,Seg4,6445
KP268808,Seg5,6445
KP268809,Seg6,6445
KP268810,Seg7,6445
KP268811,Seg8,6445
KP268812,Seg9,6445
KP268813,Seg10,6445
KF234259,Seg1,6446
KF234260,Seg2,6446
KF234261,Seg3,6446
KF234262,Seg4,6446
KF234263,Seg5,6446
KF234264,Seg6,6446
KF234265,Seg7,6446
KF234266,Seg8,6446
KF234267,Seg9,6446
KF234268,Seg10,6446
KJ495755,Seg1,6447
KJ495756,Seg2,6447
KJ495757,Seg3,6447
KJ495758,Seg4,6447
KJ495759,Seg5,6447
KJ495760,Seg6,6447
KJ495762,Seg7,6447
KJ495761,Seg8,6447
KJ495763,Seg9,6447
KJ495764,Seg10,6447
U56992,,6448
AY701509,Seg1,6449
AY701510,Seg2,6449
AY701511,Seg3,6449
AY701512,Seg4,6449
AY701513,Seg5,6449
AY701514,Seg6,6449
AY701515,Seg7,6449
AY701516,Seg8,6449
AY701517,Seg9,6449
AY701518,Seg10,6449
DQ838640,Seg1,6453
DQ838635,Seg2,6453
DQ838645,Seg3,6453
DQ841262,Seg4,6453
DQ838599,Seg5,6453
DQ838650,Seg6,6453
DQ838610,Seg7,6453
DQ838615,Seg8,6453
DQ838620,Seg9,6453
DQ838625,Seg10,6453
DQ838630,Seg11,6453
EU490415,Seg1,6454
AY238390,Seg2,6454
EU490418,Seg3,6454
AY238388,Seg4,6454
AY238391,Seg5,6454
AY238389,Seg6,6454
AY238392,Seg7,6454
AY238393,Seg8,6454
AY238385,Seg9,6454
AY238384,Seg10,6454
AY238394,Seg11,6454
AJ304859,Seg1,6455
AJ303139,Seg2,6455
X79442,Seg3,6455
X96697,Seg4,6455
