query	target 	#match	Len	#mismatch	#gapOpen	qstart	qend	tstart	tend	eval	score
4r0e_polio_rdrp	AAQ02683.1.1.10_10570	0.865	453	58	0	12	461	4	453	6.78E-77	412.3
4r0e_polio_rdrp	AAQ02682.1.1.10_10568	0.967	453	13	0	11	461	3	453	1.52E-76	410.6
4r0e_polio_rdrp	AAA46914.1.1.10_10560	0.971	453	11	0	11	461	3	453	1.58E-76	410.4
4r0e_polio_rdrp	CAA25444.1.1.10_10561	0.971	453	11	0	11	461	3	453	1.58E-76	410.4
4r0e_polio_rdrp	ABM54551.1.1.10_10571	0.967	453	12	0	12	461	4	453	1.66E-76	410.3
4r0e_polio_rdrp	ABU41836.1.1.10_10575	0.969	453	12	0	11	461	3	453	2.05E-76	409.8
4r0e_polio_rdrp	AAQ02683.1.11_10570	0.868	461	59	0	3	461	3	461	3.08E-76	408.9
4r0e_polio_rdrp	AAQ02684.1.1.10_10569	0.976	453	9	0	11	461	3	453	3.12E-76	408.9
4r0e_polio_rdrp	AAQ02681.1.11_10567	0.872	461	58	0	2	461	2	461	4.89E-76	407.9
4r0e_polio_rdrp	AAQ02676.1.1.10_10563	0.976	453	8	0	12	461	4	453	5.70E-76	407.6
4r0e_polio_rdrp	ABU41835.1.1.10_10574	0.958	453	17	0	11	461	3	453	6.00E-76	407.5
4r0e_polio_rdrp	AAT65951.1.11_10530	0.734	462	121	0	2	461	2	462	6.18E-76	407.4
4r0e_polio_rdrp	ABM54550.1.11_10573	0.870	461	59	0	2	461	2	461	6.94E-76	407.2
4r0e_polio_rdrp	CAA25246.1.11_10559	0.976	461	10	0	2	461	2	461	7.64E-76	407.0
4r0e_polio_rdrp	CAA25246.1.1.10_10559	0.976	453	9	0	11	461	3	453	8.85E-76	406.6
4r0e_polio_rdrp	AAQ02675.1.11_10562	0.872	461	58	0	2	461	2	461	9.39E-76	406.5
4r0e_polio_rdrp	ADK22846.1.1.10_10578	0.819	453	80	0	11	461	3	453	2.17E-75	404.6
4r0e_polio_rdrp	AFV92902.1.11_10582	0.828	460	79	0	1	460	1	460	4.23E-75	403.1
4r0e_polio_rdrp	AAQ73085.1.11_10519	0.736	462	120	0	2	461	2	462	5.84E-75	402.4
4r0e_polio_rdrp	AAX47035.1.11_10536	0.734	462	121	0	2	461	2	462	6.02E-75	402.4
4r0e_polio_rdrp	BAG70419.1.11_10546	0.734	462	121	0	2	461	2	462	6.02E-75	402.4
4r0e_polio_rdrp	AFS33290.1.11_10577	0.822	461	82	0	1	461	1	461	6.26E-75	402.3
4r0e_polio_rdrp	AAQ73094.1.11_10503	0.734	462	121	0	2	461	2	462	8.42E-75	401.6
4r0e_polio_rdrp	ABK41189.1.11_10547	0.732	462	122	0	2	461	2	462	8.59E-75	401.6
4r0e_polio_rdrp	CAD38168.2.11_10532	0.738	462	119	0	2	461	2	462	2.87E-74	398.9
4r0e_polio_rdrp	AFR46521.1.11_10581	0.852	461	67	0	2	461	2	461	3.08E-74	398.7
4r0e_polio_rdrp	AAQ02675.1.1.10_10562	0.868	453	57	0	12	461	4	453	3.25E-74	398.6
4r0e_polio_rdrp	ABK41188.1.11_10539	0.732	462	122	0	2	461	2	462	3.27E-74	398.6
4r0e_polio_rdrp	AAC63944.2.11_10499	0.732	462	122	0	2	461	2	462	3.46E-74	398.5
4r0e_polio_rdrp	AAQ02679.1.1.10_10566	0.978	453	7	0	12	461	4	453	4.29E-74	398.0
4r0e_polio_rdrp	AAQ73079.1.11_10513	0.729	462	123	0	2	461	2	462	4.95E-74	397.7
4r0e_polio_rdrp	ACJ66736.1.11_10625	0.751	462	113	0	2	461	2	462	5.83E-74	397.3
4r0e_polio_rdrp	BAG70420.1.1.10_10550	0.740	454	114	0	12	461	4	454	6.15E-74	397.2
4r0e_polio_rdrp	AFR46521.1.1.10_10581	0.848	453	67	0	11	461	3	453	8.87E-74	396.4
4r0e_polio_rdrp	AFV92902.1.1.10_10582	0.821	453	78	0	12	461	4	453	1.08E-73	395.9
4r0e_polio_rdrp	AAM00274.1.1.10_10601	0.704	453	131	0	12	461	4	453	1.13E-73	395.8
4r0e_polio_rdrp	AKA64452.1.11_10623	0.683	461	144	0	3	461	3	461	1.21E-73	395.7
4r0e_polio_rdrp	AFS33290.1.1.10_10577	0.815	453	82	0	11	461	3	453	1.71E-73	394.9
4r0e_polio_rdrp	AAQ73086.1.11_10520	0.729	462	123	0	2	461	2	462	1.79E-73	394.8
4r0e_polio_rdrp	AAQ73083.1.11_10517	0.738	462	119	0	2	461	2	462	1.95E-73	394.6
4r0e_polio_rdrp	AAR38842.1.11_10469	0.671	462	150	0	2	461	2	462	2.01E-73	394.6
4r0e_polio_rdrp	AAL69622.2.1.10_10491	0.747	454	112	0	11	461	3	454	2.03E-73	394.5
4r0e_polio_rdrp	CAD38168.2.1.10_10532	0.742	454	114	0	11	461	3	454	2.21E-73	394.3
4r0e_polio_rdrp	AHE93351.1.1.10_10552	0.738	454	116	0	11	461	3	454	2.29E-73	394.3
4r0e_polio_rdrp	AGH70290.1.1.10_10579	0.870	453	56	0	12	461	4	453	2.52E-73	394.1
4r0e_polio_rdrp	AAD45119.1.1.10_10524	0.740	454	115	0	11	461	3	454	2.77E-73	393.8
4r0e_polio_rdrp	AAX47039.1.11_10540	0.736	462	120	0	2	461	2	462	2.82E-73	393.8
4r0e_polio_rdrp	AAD46138.1.1.10_10494	0.733	454	116	0	13	461	5	454	2.84E-73	393.8
4r0e_polio_rdrp	ABM54550.1.1.10_10573	0.868	453	57	0	12	461	4	453	2.89E-73	393.7
4r0e_polio_rdrp	AAL69623.2.11_10555	0.751	462	113	0	2	461	2	462	3.05E-73	393.6
4r0e_polio_rdrp	BAA00518.1.11_10498	0.736	462	120	0	2	461	2	462	3.53E-73	393.3
4r0e_polio_rdrp	AFQ62099.1.1.10_10580	0.865	453	59	0	11	461	3	453	3.50E-73	393.3
4r0e_polio_rdrp	ACJ66736.1.1.10_10625	0.751	454	109	0	12	461	4	454	3.87E-73	393.1
4r0e_polio_rdrp	CAA59341.1.11_10507	0.734	462	121	0	2	461	2	462	5.29E-73	392.4
4r0e_polio_rdrp	AAX47041.1.1.10_10542	0.736	454	116	0	12	461	4	454	6.96E-73	391.8
4r0e_polio_rdrp	AAD19342.1.1.10_10504	0.742	454	114	0	11	461	3	454	8.53E-73	391.3
4r0e_polio_rdrp	AAD02132.1.1.10_10497	0.733	454	117	0	12	461	4	454	9.62E-73	391.1
4r0e_polio_rdrp	AAX47043.1.1.10_10545	0.731	454	118	0	12	461	4	454	1.08E-72	390.8
4r0e_polio_rdrp	AJA74399.1.1.10_10553	0.775	453	98	0	12	460	4	453	1.16E-72	390.6
4r0e_polio_rdrp	AAX47039.1.1.10_10540	0.740	454	115	0	11	461	3	454	1.35E-72	390.3
4r0e_polio_rdrp	BAA00518.1.1.10_10498	0.740	454	114	0	12	461	4	454	1.40E-72	390.2
4r0e_polio_rdrp	AAQ73091.1.11_10525	0.732	462	121	0	3	461	3	462	1.43E-72	390.2
4r0e_polio_rdrp	AAQ73092.1.11_10526	0.732	462	122	0	2	461	2	462	1.44E-72	390.2
4r0e_polio_rdrp	AAQ73097.1.1.10_10528	0.740	454	115	0	11	461	3	454	1.53E-72	390.1
4r0e_polio_rdrp	AAB59927.1.1.10_10492	0.740	454	114	0	12	461	4	454	1.65E-72	389.9
4r0e_polio_rdrp	AAQ73089.1.1.10_10523	0.740	454	115	0	11	461	3	454	1.69E-72	389.8
4r0e_polio_rdrp	AAQ73092.1.1.10_10526	0.738	454	116	0	11	461	3	454	1.70E-72	389.8
4r0e_polio_rdrp	AAQ73085.1.1.10_10519	0.742	454	114	0	11	461	3	454	1.75E-72	389.8
4r0e_polio_rdrp	AAL68560.2.1.10_10626	0.771	454	101	0	11	461	3	454	1.93E-72	389.5
4r0e_polio_rdrp	AAC00531.1.1.10_10493	0.733	454	118	0	11	461	3	454	2.03E-72	389.4
4r0e_polio_rdrp	AAQ73090.1.1.10_10502	0.742	454	114	0	11	461	3	454	2.07E-72	389.4
4r0e_polio_rdrp	AAX47035.1.1.10_10536	0.738	454	116	0	11	461	3	454	2.16E-72	389.3
4r0e_polio_rdrp	AAL68560.2.11_10626	0.764	462	107	0	2	461	2	462	2.17E-72	389.3
4r0e_polio_rdrp	AHE93351.1.11_10552	0.734	462	121	0	2	461	2	462	2.55E-72	388.9
4r0e_polio_rdrp	AAQ73081.1.1.10_10516	0.744	454	113	0	11	461	3	454	2.56E-72	388.9
4r0e_polio_rdrp	AAQ73090.1.11_10502	0.738	462	119	0	2	461	2	462	2.58E-72	388.9
4r0e_polio_rdrp	AAQ73080.1.11_10514	0.736	462	120	0	2	461	2	462	2.64E-72	388.9
4r0e_polio_rdrp	AAQ73078.1.1.10_10512	0.738	454	116	0	11	461	3	454	2.68E-72	388.8
4r0e_polio_rdrp	AAL69638.2.11_10624	0.755	462	111	0	2	461	2	462	2.84E-72	388.7
4r0e_polio_rdrp	AAQ02681.1.1.10_10567	0.868	453	57	0	12	461	4	453	2.83E-72	388.7
4r0e_polio_rdrp	AAQ73080.1.1.10_10514	0.740	454	114	0	12	461	4	454	3.05E-72	388.5
4r0e_polio_rdrp	AAQ73077.1.11_10511	0.740	462	118	0	2	461	2	462	3.07E-72	388.5
4r0e_polio_rdrp	AAQ73076.1.1.10_10510	0.744	454	113	0	11	461	3	454	3.29E-72	388.4
4r0e_polio_rdrp	AAQ73093.1.1.10_10527	0.738	454	115	0	12	461	4	454	3.27E-72	388.4
4r0e_polio_rdrp	AAK13071.1.11_10529	0.736	462	120	0	2	461	2	462	3.38E-72	388.3
4r0e_polio_rdrp	AAQ73091.1.1.10_10525	0.740	454	114	0	12	461	4	454	3.63E-72	388.1
4r0e_polio_rdrp	CAA56365.1.1.10_10508	0.731	454	119	0	11	461	3	454	3.77E-72	388.1
4r0e_polio_rdrp	AAQ73093.1.11_10527	0.734	462	121	0	2	461	2	462	4.01E-72	387.9
4r0e_polio_rdrp	AAX47044.1.11_10548	0.727	462	124	0	2	461	2	462	4.25E-72	387.8
4r0e_polio_rdrp	AAQ73083.1.1.10_10517	0.742	454	114	0	11	461	3	454	4.43E-72	387.7
4r0e_polio_rdrp	AAQ73084.1.1.10_10518	0.742	454	114	0	11	461	3	454	4.50E-72	387.6
4r0e_polio_rdrp	ANF04008.1.11_10620	0.669	478	129	0	13	461	30	478	5.16E-72	387.4
4r0e_polio_rdrp	AAX47044.1.1.10_10548	0.731	454	119	0	11	461	3	454	5.17E-72	387.3
4r0e_polio_rdrp	AAX47042.1.1.10_10543	0.740	454	115	0	11	461	3	454	5.22E-72	387.3
4r0e_polio_rdrp	AAT65964.1.1.10_10531	0.738	454	115	0	12	461	4	454	5.43E-72	387.2
4r0e_polio_rdrp	ALG04730.2.11_10608	0.703	461	135	0	3	461	3	461	5.48E-72	387.2
4r0e_polio_rdrp	AAQ73088.1.1.10_10522	0.738	454	115	0	12	461	4	454	5.94E-72	387.1
4r0e_polio_rdrp	AAQ73087.1.1.10_10521	0.740	454	114	0	12	461	4	454	6.09E-72	387.0
4r0e_polio_rdrp	AAQ73082.1.11_10501	0.738	462	119	0	2	461	2	462	6.17E-72	386.9
4r0e_polio_rdrp	AAX47037.1.11_10538	0.736	462	120	0	2	461	2	462	6.28E-72	386.9
4r0e_polio_rdrp	AAQ73081.1.11_10516	0.738	462	118	0	3	461	3	462	6.31E-72	386.9
4r0e_polio_rdrp	AAQ73088.1.11_10522	0.734	462	121	0	2	461	2	462	6.44E-72	386.9
4r0e_polio_rdrp	AAL37163.1.1.10_10515	0.736	454	116	0	12	461	4	454	6.86E-72	386.7
4r0e_polio_rdrp	AAK13071.1.1.10_10529	0.740	454	114	0	12	461	4	454	7.04E-72	386.7
4r0e_polio_rdrp	AAQ73096.1.1.10_10506	0.742	454	114	0	11	461	3	454	7.10E-72	386.6
4r0e_polio_rdrp	AAR38843.1.11_10470	0.680	462	145	0	3	461	3	462	7.37E-72	386.6
4r0e_polio_rdrp	ABK41189.1.1.10_10547	0.738	454	116	0	11	461	3	454	7.76E-72	386.5
4r0e_polio_rdrp	AAX47033.1.11_10534	0.736	462	120	0	2	461	2	462	7.89E-72	386.4
4r0e_polio_rdrp	AAX47043.1.11_10545	0.729	462	123	0	2	461	2	462	7.96E-72	386.4
4r0e_polio_rdrp	AAC00531.1.11_10493	0.727	462	123	0	3	461	3	462	8.17E-72	386.3
4r0e_polio_rdrp	CAA55650.1.9_10509	0.732	462	122	0	2	461	2	462	8.82E-72	386.2
4r0e_polio_rdrp	AAQ73096.1.11_10506	0.738	462	119	0	2	461	2	462	9.29E-72	386.0
4r0e_polio_rdrp	AAX47033.1.1.10_10534	0.742	454	113	0	12	461	4	454	9.37E-72	386.0
4r0e_polio_rdrp	AAQ73095.1.1.10_10505	0.740	454	114	0	12	461	4	454	1.02E-71	385.8
4r0e_polio_rdrp	CAA59341.1.1.10_10507	0.736	454	116	0	12	461	4	454	1.02E-71	385.8
4r0e_polio_rdrp	AAR38841.1.11_10468	0.669	462	151	0	2	461	2	462	1.05E-71	385.8
4r0e_polio_rdrp	AKA64451.1.1.10_10622	0.687	453	138	0	13	461	5	453	1.07E-71	385.7
4r0e_polio_rdrp	AAX47034.1.1.10_10535	0.740	454	115	0	11	461	3	454	1.09E-71	385.7
4r0e_polio_rdrp	AAX47036.1.1.10_10537	0.733	454	117	0	12	461	4	454	1.10E-71	385.7
4r0e_polio_rdrp	AAQ73089.1.11_10523	0.736	462	120	0	2	461	2	462	1.20E-71	385.5
4r0e_polio_rdrp	AAZ73368.1.1.10_10596	0.684	453	141	0	11	461	3	453	1.26E-71	385.3
4r0e_polio_rdrp	AKA64452.1.1.10_10623	0.689	453	137	0	13	461	5	453	1.34E-71	385.2
4r0e_polio_rdrp	AAT65951.1.1.10_10530	0.738	454	116	0	11	461	3	454	1.36E-71	385.2
4r0e_polio_rdrp	QEQ92497.1_10428	0.072	2069	290	0	15	461	1612	2066	1.43E-71	385.2
4r0e_polio_rdrp	BAA24003.1.11_10589	0.677	461	148	0	2	461	2	461	1.41E-71	385.1
4r0e_polio_rdrp	AAX47036.1.11_10537	0.732	462	122	0	2	461	2	462	1.46E-71	385.0
4r0e_polio_rdrp	BAA24003.1.1.10_10589	0.682	453	142	0	11	461	3	453	1.64E-71	384.8
4r0e_polio_rdrp	AAQ73076.1.11_10510	0.740	462	118	0	2	461	2	462	1.71E-71	384.7
4r0e_polio_rdrp	AAX47040.1.1.10_10541	0.738	454	115	0	12	461	4	454	2.11E-71	384.2
4r0e_polio_rdrp	AAQ73082.1.1.10_10501	0.742	454	114	0	11	461	3	454	2.25E-71	384.1
4r0e_polio_rdrp	AAZ73369.1.1.10_10595	0.687	453	140	0	11	461	3	453	2.32E-71	384.0
4r0e_polio_rdrp	AAX47042.1.11_10543	0.736	462	120	0	2	461	2	462	2.57E-71	383.8
4r0e_polio_rdrp	AAQ73077.1.1.10_10511	0.744	454	111	0	13	461	5	454	2.75E-71	383.6
4r0e_polio_rdrp	AAL69622.2.11_10491	0.742	462	117	0	2	461	2	462	2.98E-71	383.5
4r0e_polio_rdrp	AAQ73079.1.1.10_10513	0.733	454	118	0	11	461	3	454	3.18E-71	383.3
4r0e_polio_rdrp	ACG55801.1_10363	0.096	1381	307	0	15	461	930	1380	3.56E-71	383.3
4r0e_polio_rdrp	AAQ73086.1.1.10_10520	0.733	454	117	0	12	461	4	454	3.36E-71	383.2
4r0e_polio_rdrp	ACU27241.1.1.10_10576	0.799	438	82	0	13	444	5	437	3.64E-71	383.0
4r0e_polio_rdrp	BAG70419.1.1.10_10546	0.738	454	116	0	11	461	3	454	3.70E-71	383.0
4r0e_polio_rdrp	ABK41188.1.1.10_10539	0.736	454	116	0	12	461	4	454	4.08E-71	382.7
4r0e_polio_rdrp	AAR38845.1.11_10472	0.669	462	151	0	2	461	2	462	4.13E-71	382.7
4r0e_polio_rdrp	AAQ73095.1.11_10505	0.736	462	120	0	2	461	2	462	4.77E-71	382.4
4r0e_polio_rdrp	AAQ73097.1.11_10528	0.736	462	120	0	2	461	2	462	5.01E-71	382.3
4r0e_polio_rdrp	AAZ73344.1.1.10_10594	0.687	453	140	0	11	461	3	453	5.16E-71	382.2
4r0e_polio_rdrp	AIM19469.1.1.10_10544	0.736	454	116	0	12	461	4	454	5.60E-71	382.1
4r0e_polio_rdrp	AAX47034.1.11_10535	0.736	462	120	0	2	461	2	462	5.81E-71	382.0
4r0e_polio_rdrp	AAX47040.1.11_10541	0.736	462	120	0	2	461	2	462	6.41E-71	381.8
4r0e_polio_rdrp	AAQ73078.1.11_10512	0.734	462	121	0	2	461	2	462	6.39E-71	381.8
4r0e_polio_rdrp	CAA56365.1.11_10508	0.727	462	124	0	2	461	2	462	6.58E-71	381.7
4r0e_polio_rdrp	AAF21971.1.1.10_10496	0.733	454	117	0	12	461	4	454	7.18E-71	381.5
4r0e_polio_rdrp	AAQ73084.1.11_10518	0.736	462	120	0	2	461	2	462	7.61E-71	381.4
4r0e_polio_rdrp	AAL69638.2.1.10_10624	0.756	454	107	0	12	461	4	454	8.08E-71	381.2
4r0e_polio_rdrp	AAQ73094.1.1.10_10503	0.738	454	116	0	11	461	3	454	8.38E-71	381.2
4r0e_polio_rdrp	ABV25904.1.11_10483	0.669	462	142	0	11	461	11	462	8.62E-71	381.1
4r0e_polio_rdrp	ACK37386.1.11_10723	0.626	460	163	0	10	461	10	460	1.02E-70	380.8
4r0e_polio_rdrp	CAA29172.1.1.10_10495	0.736	454	117	0	11	461	3	454	1.12E-70	380.5
4r0e_polio_rdrp	ABK88241.1.1.10_10586	0.761	452	103	0	15	461	6	452	1.22E-70	380.3
4r0e_polio_rdrp	ACK37386.1.1.10_10723	0.635	452	161	0	13	461	5	452	1.26E-70	380.3
4r0e_polio_rdrp	AAL69623.2.1.10_10555	0.749	454	110	0	12	461	4	454	1.34E-70	380.1
4r0e_polio_rdrp	AAC63944.2.1.10_10499	0.736	454	116	0	12	461	4	454	1.40E-70	380.0
4r0e_polio_rdrp	AAX47037.1.1.10_10538	0.740	454	114	0	12	461	4	454	1.43E-70	380.0
4r0e_polio_rdrp	CAA55650.1.1.10_10509	0.736	454	116	0	12	461	4	454	1.68E-70	379.6
4r0e_polio_rdrp	ACK37380.1.1.10_10719	0.628	452	164	0	13	461	5	452	2.00E-70	379.2
4r0e_polio_rdrp	AAR38847.1.11_10474	0.680	462	147	0	1	461	1	462	2.44E-70	378.8
4r0e_polio_rdrp	AAT65964.1.11_10531	0.736	462	120	0	2	461	2	462	2.78E-70	378.5
4r0e_polio_rdrp	AHL27172.1.1.10_10549	0.736	454	116	0	12	461	4	454	2.78E-70	378.5
4r0e_polio_rdrp	ABF51188.1.11_10690	0.563	460	198	0	3	461	3	460	3.41E-70	378.1
4r0e_polio_rdrp	ALG04780.2.11_10609	0.703	461	135	0	3	461	3	461	3.39E-70	378.0
4r0e_polio_rdrp	ANN02908.1.1.10_10593	0.673	453	145	0	12	461	4	453	3.38E-70	378.0
4r0e_polio_rdrp	AAL69633.2.11_10489	0.669	462	150	0	3	461	3	462	3.89E-70	377.7
4r0e_polio_rdrp	AAR38846.1.11_10473	0.677	462	147	0	2	461	2	462	4.08E-70	377.7
4r0e_polio_rdrp	ARM53611.1.12_10617	0.701	461	136	0	3	461	3	461	4.72E-70	377.3
4r0e_polio_rdrp	AAR38844.1.11_10471	0.675	462	148	0	2	461	2	462	4.91E-70	377.3
4r0e_polio_rdrp	AAX47041.1.11_10542	0.734	462	121	0	2	461	2	462	5.23E-70	377.1
4r0e_polio_rdrp	ANF04008.1.1.10_10620	0.706	453	130	0	12	461	4	453	5.83E-70	376.8
4r0e_polio_rdrp	AAQ73087.1.11_10521	0.734	462	121	0	2	461	2	462	6.21E-70	376.7
4r0e_polio_rdrp	ACK37393.1.1.10_10742	0.644	452	157	0	13	461	5	452	6.45E-70	376.6
4r0e_polio_rdrp	ACK37420.1.11_10732	0.652	460	157	0	4	461	4	460	6.59E-70	376.6
4r0e_polio_rdrp	ABF51185.1.11_10664	0.578	460	191	0	3	461	3	460	8.64E-70	376.0
4r0e_polio_rdrp	AAW30682.1.11_10479	0.688	462	142	0	2	461	2	462	8.71E-70	375.9
4r0e_polio_rdrp	AAL69636.2.11_10490	0.652	462	146	0	15	461	15	462	8.75E-70	375.9
4r0e_polio_rdrp	AAW30683.1.11_10480	0.686	462	143	0	2	461	2	462	9.81E-70	375.7
4r0e_polio_rdrp	BAA18891.1.1.10_10585	0.758	451	105	0	15	461	5	451	9.88E-70	375.6
4r0e_polio_rdrp	AEE01039.1.11_10603	0.694	461	139	0	3	461	3	461	9.98E-70	375.6
4r0e_polio_rdrp	BAW98044.1.1.10_10600	0.687	453	140	0	11	461	3	453	1.04E-69	375.5
4r0e_polio_rdrp	ABF51188.1.1.10_10690	0.573	452	189	0	12	461	4	452	1.14E-69	375.4
4r0e_polio_rdrp	ACK37407.1.1.10_10726	0.648	452	155	0	13	461	5	452	1.16E-69	375.3
4r0e_polio_rdrp	AAL69631.2.11_10621	0.659	460	155	0	3	461	3	460	1.16E-69	375.3
4r0e_polio_rdrp	ACK37433.1.11_10638	0.580	460	186	0	7	461	7	460	1.21E-69	375.2
4r0e_polio_rdrp	AFK66746.1.1.10_10605	0.704	453	131	0	12	461	4	453	1.21E-69	375.2
4r0e_polio_rdrp	AVJ35777.1.1.10_10607	0.704	453	130	0	13	461	5	453	1.33E-69	375.0
4r0e_polio_rdrp	AAR98503.1.11_10583	0.720	457	118	0	15	461	11	457	1.33E-69	375.0
4r0e_polio_rdrp	AAW30685.1.11_10482	0.673	462	138	0	13	461	13	462	1.55E-69	374.7
4r0e_polio_rdrp	ACK37419.1.11_10698	0.570	460	190	0	8	461	8	460	1.60E-69	374.6
4r0e_polio_rdrp	ANN47502.1.11_10487	0.673	462	138	0	13	461	13	462	1.69E-69	374.5
4r0e_polio_rdrp	ARM53611.1.1.12_10617	0.704	453	130	0	13	461	5	453	1.69E-69	374.4
4r0e_polio_rdrp	AAR38848.1.11_10475	0.677	462	147	0	2	461	2	462	1.99E-69	374.1
4r0e_polio_rdrp	ACK37411.1.11_10729	0.643	460	155	0	10	461	10	460	2.23E-69	373.9
4r0e_polio_rdrp	ABF51181.1.11_10721	0.637	460	158	0	10	461	10	460	2.67E-69	373.5
4r0e_polio_rdrp	CAA24465.1.9_10557	0.694	644	7	0	8	461	191	644	2.88E-69	373.3
4r0e_polio_rdrp	AKA64451.1.11_10622	0.681	461	146	0	2	461	2	461	2.83E-69	373.3
4r0e_polio_rdrp	AAM00276.1.1.10_10602	0.706	453	129	0	13	461	5	453	2.82E-69	373.3
4r0e_polio_rdrp	ACK37444.1.1.10_10725	0.635	452	160	0	14	461	6	452	3.02E-69	373.2
4r0e_polio_rdrp	AEP69156.1.1.10_10741	0.644	452	156	0	14	461	6	452	3.05E-69	373.2
4r0e_polio_rdrp	ACK37385.1.1.10_10663	0.587	450	181	0	15	461	5	450	3.10E-69	373.1
4r0e_polio_rdrp	ALG04780.2.1.10_10609	0.706	453	130	0	12	461	4	453	3.42E-69	372.9
4r0e_polio_rdrp	ACK37380.1.11_10719	0.620	460	168	0	8	461	8	460	3.59E-69	372.8
4r0e_polio_rdrp	AFK79845.1.11_10781	0.593	460	176	0	11	461	11	459	3.65E-69	372.8
4r0e_polio_rdrp	AAZ73366.1.1.10_10590	0.678	453	143	0	12	461	4	453	4.40E-69	372.3
4r0e_polio_rdrp	CAA25246.1.10_10559	0.691	644	9	0	8	461	191	644	4.71E-69	372.2
4r0e_polio_rdrp	ABF51180.1.1.10_10716	0.644	452	157	0	13	461	5	452	4.69E-69	372.2
4r0e_polio_rdrp	ACK37442.1.11_10720	0.633	460	163	0	7	461	7	460	5.45E-69	371.9
4r0e_polio_rdrp	AET72469.1_10782	0.110	2075	152	0	12	393	1696	2075	6.01E-69	371.8
4r0e_polio_rdrp	ABF51203.1.11_10697	0.593	460	179	0	8	461	8	460	6.08E-69	371.6
4r0e_polio_rdrp	ACK37430.1.11_10737	0.628	460	164	0	8	461	8	460	7.07E-69	371.3
4r0e_polio_rdrp	ACK37424.1.11_10733	0.635	460	159	0	10	461	10	460	7.35E-69	371.2
4r0e_polio_rdrp	ALG04730.2.1.11_10608	0.706	453	129	0	13	461	5	453	8.64E-69	370.8
4r0e_polio_rdrp	ABF51192.1.11_10639	0.576	460	187	0	8	461	8	460	9.11E-69	370.7
4r0e_polio_rdrp	ACK37388.1.1.10_10666	0.560	452	195	0	12	461	4	452	9.44E-69	370.6
4r0e_polio_rdrp	AEP69150.1.1.10_10708	0.582	447	183	0	14	458	4	447	9.54E-69	370.6
4r0e_polio_rdrp	AEE01039.1.1.10_10603	0.695	453	133	0	14	461	6	453	9.93E-69	370.5
4r0e_polio_rdrp	AAL69631.2.1.10_10621	0.666	452	146	0	14	461	6	452	9.98E-69	370.5
4r0e_polio_rdrp	ACK37424.1.1.10_10733	0.646	452	158	0	11	461	3	452	1.02E-68	370.5
4r0e_polio_rdrp	BAA00168.1.11_10634	0.563	460	193	0	8	461	8	460	1.08E-68	370.4
4r0e_polio_rdrp	ABF51180.1.11_10716	0.635	460	160	0	9	461	9	460	1.12E-68	370.3
4r0e_polio_rdrp	ACK37410.1.1.10_10693	0.582	450	183	0	15	461	5	450	1.14E-68	370.2
