hallmark,cluster_id,structure_representative,cluster_member,protlen,plddt,ptm,ictv_sort,ictv_realm,ictv_family,ictv_species,genbank_name,foldseek
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ALL35271.1.1.6_10838_relaxed,462,94.9,0.94,10838,Riboviria,Picornaviridae,Hepatovirus H,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AAA45465.1.1.5_10827_relaxed,463,94.2,0.93,10827,Riboviria,Picornaviridae,Hepatovirus A,"RNA-dependent RNA polymerase (RdRp) in the genus Hepatovirus of positive-sense single-stranded RNA [(+)ssRNA] viruses, within the family Picornaviridae; cd23215",cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AAA45466.1.11_10827_relaxed,489,94.4,0.94,10827,Riboviria,Picornaviridae,Hepatovirus A,3D mature peptide,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AFP96991.1.11_10938_relaxed,490,94.3,0.93,10938,Riboviria,Picornaviridae,Limnipivirus A,3D RdRP,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ALL35275.1.1.5_10829_relaxed,460,94.3,0.94,10829,Riboviria,Picornaviridae,Hepatovirus C,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AUA17935.1.11_10844_relaxed,484,94.0,0.93,10844,Riboviria,Picornaviridae,Tremovirus B,Putative 3D; RNA-dependent RNA polymerase,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AVM87424.1.1.7_10845_relaxed,432,93.8,0.92,10845,Riboviria,Picornaviridae,Tremovirus B,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AUA17935.1.1.7_10844_relaxed,442,93.7,0.92,10844,Riboviria,Picornaviridae,Tremovirus B,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AUW34302.1.1.6_10826_relaxed,420,94.0,0.93,10826,Riboviria,Picornaviridae,Gruhelivirus A,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AVM87420.1.1.6_10818_relaxed,424,94.1,0.93,10818,Riboviria,Picornaviridae,Caecilivirus A,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ATY47703.1.1.7_10802_relaxed,447,95.6,0.94,10802,Riboviria,Picornaviridae,Parabovirus A,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AGV08598.1.11_10976_relaxed,473,95.4,0.94,10976,Riboviria,Picornaviridae,Potamipivirus A,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-QBA82298.1.12_10977_relaxed,471,95.2,0.93,10977,Riboviria,Picornaviridae,Potamipivirus B,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ALR95870.1.11_10839_relaxed,490,95.3,0.94,10839,Riboviria,Picornaviridae,Hepatovirus H,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ALL35265.1.1.5_10840_relaxed,463,94.4,0.94,10840,Riboviria,Picornaviridae,Hepatovirus I,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ALL35268.1.1.6_10837_relaxed,462,94.7,0.93,10837,Riboviria,Picornaviridae,Hepatovirus H,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ALL35272.1.1.6_10836_relaxed,462,94.4,0.93,10836,Riboviria,Picornaviridae,Hepatovirus G,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ALC78887.1.9_10828_relaxed,489,95.0,0.94,10828,Riboviria,Picornaviridae,Hepatovirus B,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ATY47696.1.1.7_10381_relaxed,459,96.1,0.94,10381,Riboviria,Picornaviridae,Cardiovirus E,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ACO92353.1.1.7_10374_relaxed,456,95.5,0.93,10374,Riboviria,Picornaviridae,Cardiovirus D,"RNA-dependent RNA polymerase (RdRp) in the Cardiovirus genus of positive-sense single-stranded RNA [(+)ssRNA] viruses, within the family Picornaviridae; cd23211",cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AAA43037.1.1.8_10358_relaxed,459,96.0,0.94,10358,Riboviria,Picornaviridae,Cardiovirus A,"RNA-dependent RNA polymerase (RdRp) in the Cardiovirus genus of positive-sense single-stranded RNA [(+)ssRNA] viruses, within the family Picornaviridae; cd23211",cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AFO66759.1.1.8_10359_relaxed,459,96.0,0.94,10359,Riboviria,Picornaviridae,Cardiovirus A,"RNA-dependent RNA polymerase (RdRp) in the Cardiovirus genus of positive-sense single-stranded RNA [(+)ssRNA] viruses, within the family Picornaviridae; cd23211",cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AUO15553.1.1.7_10364_relaxed,459,95.4,0.93,10364,Riboviria,Picornaviridae,Cardiovirus B,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ABP68884.2.12_10370_relaxed,461,95.7,0.93,10370,Riboviria,Picornaviridae,Cardiovirus D,Protein 3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-CAA39496.1.1.7_10360_relaxed,460,96.1,0.94,10360,Riboviria,Picornaviridae,Cardiovirus B,"RNA-dependent RNA polymerase (RdRp) in the Cardiovirus genus of positive-sense single-stranded RNA [(+)ssRNA] viruses, within the family Picornaviridae; cd23211",cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AGM61326.1.1.7_10361_relaxed,460,96.1,0.94,10361,Riboviria,Picornaviridae,Cardiovirus B,"RNA-dependent RNA polymerase (RdRp) in the Cardiovirus genus of positive-sense single-stranded RNA [(+)ssRNA] viruses, within the family Picornaviridae; cd23211",cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ABP68884.2.1.7_10370_relaxed,460,95.8,0.94,10370,Riboviria,Picornaviridae,Cardiovirus D,"RNA-dependent RNA polymerase (RdRp) in the Cardiovirus genus of positive-sense single-stranded RNA [(+)ssRNA] viruses, within the family Picornaviridae; cd23211",cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ACI95948.2.1.6_10865_relaxed,458,95.7,0.93,10865,Riboviria,Picornaviridae,Aichivirus C,"RNA-dependent RNA polymerase (RdRp) in the Kobuvirus genus of positive-sense single-stranded RNA [(+)ssRNA] viruses, within the family Picornaviridae; cd23214",cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AIK67137.1.1.6_10856_relaxed,457,95.6,0.94,10856,Riboviria,Picornaviridae,Aichivirus A,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AWB14573.1.1.7_10859_relaxed,458,95.3,0.93,10859,Riboviria,Picornaviridae,Aichivirus A,"RNA-dependent RNA polymerase (RdRp) in the Kobuvirus genus of positive-sense single-stranded RNA [(+)ssRNA] viruses, within the family Picornaviridae; cd23214",cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AUV64577.1.1.6_10873_relaxed,451,95.4,0.93,10873,Riboviria,Picornaviridae,Ludopivirus A,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AIF74250.1.1.6_10870_relaxed,453,94.1,0.93,10870,Riboviria,Picornaviridae,Aichivirus F,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-APM87483.1.1.7_10872_relaxed,453,94.7,0.93,10872,Riboviria,Picornaviridae,Livupivirus A,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ADL38959.1.11_10886_relaxed,470,95.9,0.94,10886,Riboviria,Picornaviridae,Oscivirus A,3D,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-BAM44709.1.1.7_10373_relaxed,460,95.8,0.94,10373,Riboviria,Picornaviridae,Cardiovirus D,"RNA-dependent RNA polymerase (RdRp) in the Cardiovirus genus of positive-sense single-stranded RNA [(+)ssRNA] viruses, within the family Picornaviridae; cd23211",cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ADK91813.1.1.7_10372_relaxed,460,95.7,0.93,10372,Riboviria,Picornaviridae,Cardiovirus D,"RNA-dependent RNA polymerase (RdRp) in the Cardiovirus genus of positive-sense single-stranded RNA [(+)ssRNA] viruses, within the family Picornaviridae; cd23211",cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AAA47930.1.1.7_10362_relaxed,460,96.0,0.94,10362,Riboviria,Picornaviridae,Cardiovirus B,"RNA-dependent RNA polymerase (RdRp) in the Cardiovirus genus of positive-sense single-stranded RNA [(+)ssRNA] viruses, within the family Picornaviridae; cd23211",cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-BAC58035.1.1.7_10365_relaxed,460,96.0,0.94,10365,Riboviria,Picornaviridae,Cardiovirus B,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-BAM44716.1.1.7_10380_relaxed,460,95.8,0.93,10380,Riboviria,Picornaviridae,Cardiovirus D,"RNA-dependent RNA polymerase (RdRp) in the Cardiovirus genus of positive-sense single-stranded RNA [(+)ssRNA] viruses, within the family Picornaviridae; cd23211",cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ATY47698.1.1.7_10382_relaxed,459,96.0,0.94,10382,Riboviria,Picornaviridae,Cardiovirus F,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ATY47692.1.1.6_10437_relaxed,465,95.9,0.93,10437,Riboviria,Picornaviridae,Mupivirus A,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-QEQ92497.1.1.6_10428_relaxed,460,95.3,0.94,10428,Riboviria,Picornaviridae,Marsupivirus A,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ABG23522.1.1.6_10439_relaxed,461,95.7,0.93,10439,Riboviria,Picornaviridae,Senecavirus A,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-ALR74732.1.1.7_10460_relaxed,455,95.5,0.93,10460,Riboviria,Picornaviridae,Anativirus B,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
1_4r0e_polio_rdrp,1,CF-BAA24003.1.11_10589_relaxed,CF-AVM87408.1.1.7_10918_relaxed,459,95.6,0.94,10918,Riboviria,Picornaviridae,Symapivirus A,Conserved catalytic core domain of RNA-dependent RNA polymerase (RdRp) from the positive-sense single-stranded RNA [(+)ssRNA] viruses and closely related viruses; cl40470,cluster
